"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Michael Lorenzen","CIN","28","0","2","0","0","0",".000","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","","0.0%","","","","","","0.0%","","","","","","","0.0%","","","","","","0.0%","0.0%","14843"
"Luis Campusano","SDP","21","3","2","1","1","0",".333","0.0%","50.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.1","25.0%","83.3%","44.4%","100.0%","80.0%","87.5%","33.3%","100.0%","5.6%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","75.0%","101.1","21.6","0.0%","101.1","100.0%","16.7%","22.2%","22217"
"Rafael Marchan","PHI","21","8","3","1","3","0",".500","11.1%","22.2%","50.0%","33.3%","16.7%","0.0%","0.0%","0.0%","2.6","45.5%","80.0%","56.3%","50.0%","100.0%","72.2%","31.3%","44.4%","15.2%","33.3%","33.3%","33.3%","16.7%","50.0%","33.3%","44.4%","92.2","10.5","16.7%","99.6","50.0%","12.1%","27.3%","21646"
"Billy McKinney","TOR","25","3","1","0","0","0",".667","0.0%","0.0%","66.7%","0.0%","33.3%","0.0%","0.0%","0.0%","2.6","50.0%","100.0%","60.0%","100.0%","100.0%","100.0%","20.0%","","0.0%","33.3%","66.7%","0.0%","33.3%","33.3%","33.3%","0.0%","89.1","23.7","0.0%","104.8","33.3%","10.0%","10.0%","15654"
"Travis Blankenhorn","MIN","23","3","0","0","0","0",".333","0.0%","0.0%","33.3%","0.0%","66.7%","50.0%","0.0%","0.0%","0.1","57.1%","83.3%","69.2%","75.0%","100.0%","88.9%","46.2%","75.0%","7.7%","33.3%","0.0%","66.7%","33.3%","33.3%","33.3%","0.0%","89.3","41.2","33.3%","108.8","33.3%","7.7%","15.4%","18395"
"Andrew Stevenson","WSN","26","41","11","2","12","2",".366","10.6%","23.4%","34.5%","34.5%","31.0%","0.0%","0.0%","100.0%","9.0","33.9%","62.5%","43.5%","58.1%","95.0%","75.9%","33.5%","53.2%","10.5%","26.7%","26.7%","46.7%","6.7%","46.7%","46.7%","38.3%","92.2","10.2","6.7%","107.8","43.3%","17.8%","28.3%","17932"
"Yolmer Sanchez","CHW","28","16","7","1","1","0",".313","23.8%","23.8%","27.3%","45.5%","27.3%","0.0%","0.0%","0.0%","2.6","20.3%","48.6%","30.3%","69.2%","82.4%","76.7%","35.4%","57.1%","7.1%","54.5%","27.3%","18.2%","0.0%","63.6%","36.4%","52.4%","90.7","12.4","18.2%","102.3","54.5%","22.2%","29.3%","11602"
"Juan Soto","WSN","21","154","39","13","37","6",".351","20.9%","14.3%","19.8%","51.6%","28.6%","5.6%","6.2%","0.0%","4.0","21.0%","61.4%","36.0%","69.7%","88.9%","81.9%","37.2%","49.5%","6.5%","32.5%","43.7%","23.8%","15.1%","42.9%","42.1%","41.8%","92.1","4.2","17.5%","113.3","51.6%","18.5%","25.0%","20123"
"Austin Dean","STL","26","4","1","0","0","0",".250","42.9%","28.6%","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","1.1","23.8%","56.3%","37.8%","40.0%","77.8%","64.3%","43.2%","71.4%","13.5%","50.0%","50.0%","0.0%","0.0%","50.0%","50.0%","71.4%","99.7","26.8","50.0%","111.5","50.0%","16.2%","29.7%","18288"
"Sam Huff","TEX","22","31","5","3","4","0",".355","6.1%","33.3%","45.0%","25.0%","30.0%","0.0%","0.0%","0.0%","0.8","27.7%","64.3%","42.4%","34.8%","75.0%","59.3%","40.3%","66.7%","17.3%","55.0%","20.0%","25.0%","5.0%","30.0%","65.0%","48.5%","95.7","12.6","25.0%","111.4","55.0%","19.4%","36.7%","22209"
