"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Ke'Bryan Hayes","PIT","23","85","17","5","11","1",".376","9.5%","21.1%","21.5%","47.7%","30.8%","5.0%","3.2%","0.0%","6.1","28.9%","68.5%","44.1%","65.2%","96.1%","83.6%","38.4%","55.8%","7.2%","24.6%","40.0%","35.4%","18.5%","36.9%","44.6%","35.8%","92.8","7.4","9.2%","110.3","55.4%","19.3%","26.5%","18577"
"Freddie Freeman","ATL","30","214","51","13","53","2",".341","17.2%","14.1%","31.1%","31.6%","37.3%","1.5%","5.4%","0.0%","4.5","28.2%","80.7%","48.2%","74.7%","86.0%","81.9%","38.1%","54.6%","8.7%","37.3%","33.3%","29.4%","9.6%","47.5%","42.9%","36.3%","92.4","17.2","14.7%","109.3","54.2%","10.4%","19.1%","5361"
"Marcell Ozuna","ATL","29","228","38","18","56","0",".338","14.2%","22.5%","23.1%","36.7%","40.2%","16.2%","3.2%","0.0%","0.8","32.5%","69.0%","46.3%","53.9%","83.6%","70.6%","37.8%","55.4%","13.6%","45.0%","29.0%","26.0%","14.8%","39.1%","46.2%","43.4%","93.0","16.4","15.4%","115.6","53.8%","14.9%","28.5%","10324"
"Eduardo Nunez","NYM","33","2","0","0","0","1",".500","0.0%","0.0%","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","5.0","100.0%","66.7%","75.0%","100.0%","100.0%","100.0%","75.0%","100.0%","0.0%","50.0%","50.0%","0.0%","50.0%","50.0%","0.0%","0.0%","73.6","-11.0","0.0%","80.0","0.0%","25.0%","25.0%","6848"
"Oscar Hernandez","KCR","26","4","1","0","0","0",".500","0.0%","25.0%","33.3%","66.7%","0.0%","0.0%","0.0%","0.0%","2.6","42.9%","33.3%","40.0%","66.7%","100.0%","75.0%","30.0%","50.0%","10.0%","33.3%","66.7%","0.0%","0.0%","66.7%","33.3%","25.0%","91.9","6.2","0.0%","100.4","66.7%","30.0%","40.0%","13490"
"Tyler Stephenson","CIN","23","17","4","2","6","0",".294","10.0%","45.0%","25.0%","37.5%","37.5%","0.0%","0.0%","0.0%","2.0","13.0%","55.8%","33.7%","66.7%","75.0%","73.3%","48.3%","55.0%","9.0%","37.5%","37.5%","25.0%","12.5%","50.0%","37.5%","65.0%","89.5","16.5","12.5%","103.1","50.0%","29.2%","38.2%","17988"
"DJ LeMahieu","NYY","31","195","41","10","27","3",".364","8.3%","9.7%","22.3%","56.6%","21.1%","0.0%","4.0%","0.0%","5.8","28.9%","63.4%","44.1%","82.1%","94.4%","89.9%","44.1%","65.3%","4.5%","27.4%","29.1%","43.4%","13.1%","51.4%","35.4%","22.7%","91.3","2.3","2.9%","109.5","45.7%","19.9%","24.4%","9874"
"Brandon Belt","SFG","32","149","25","9","30","0",".309","16.8%","20.1%","27.0%","30.6%","42.3%","0.0%","0.0%","50.0%","2.3","22.0%","74.6%","42.6%","60.9%","86.0%","78.1%","39.1%","59.2%","9.3%","43.4%","34.5%","22.1%","11.5%","47.8%","40.7%","41.9%","90.7","18.0","16.8%","109.1","46.9%","14.7%","24.1%","10264"
"Brian O'Grady","TBR","28","5","2","0","0","1",".400","0.0%","20.0%","50.0%","25.0%","25.0%","0.0%","0.0%","0.0%","7.5","37.5%","84.6%","58.6%","66.7%","90.9%","82.4%","44.8%","40.0%","10.3%","50.0%","50.0%","0.0%","0.0%","75.0%","25.0%","20.0%","92.7","14.0","0.0%","104.7","50.0%","3.4%","13.8%","16729"
"Randy Arozarena","TBR","25","64","15","7","11","4",".281","7.9%","28.9%","18.6%","46.5%","34.9%","6.7%","10.0%","0.0%","6.6","26.8%","65.6%","42.2%","48.1%","75.0%","64.7%","39.8%","51.3%","14.9%","44.2%","23.3%","32.6%","16.3%","46.5%","37.2%","46.1%","90.3","9.2","14.0%","113.1","44.2%","17.7%","32.6%","19290"
"Alejandro Kirk","TOR","21","24","4","1","3","0",".375","4.0%","16.0%","20.0%","55.0%","25.0%","0.0%","9.1%","0.0%","1.6","31.8%","56.1%","43.5%","64.3%","87.0%","78.4%","48.2%","64.0%","9.4%","35.0%","30.0%","35.0%","10.0%","50.0%","40.0%","24.0%","95.0","5.9","5.0%","107.4","50.0%","23.5%","32.9%","22581"
"Jorge Ona","SDP","23","12","3","1","2","0",".250","13.3%","46.7%","20.0%","40.0%","40.0%","0.0%","50.0%","0.0%","2.6","33.3%","72.0%","48.4%","15.4%","72.2%","48.4%","39.1%","73.3%","25.0%","80.0%","20.0%","0.0%","40.0%","40.0%","20.0%","66.7%","78.2","7.3","20.0%","104.5","40.0%","14.1%","39.1%","20040"
"Jose Ramirez","CLE","27","219","45","17","46","10",".292","12.2%","16.9%","18.8%","30.1%","51.1%","11.1%","11.3%","100.0%","5.8","25.9%","65.6%","41.4%","80.6%","88.8%","85.7%","39.3%","52.4%","5.9%","52.0%","28.8%","19.2%","19.8%","46.9%","33.3%","35.8%","88.7","23.2","10.2%","114.3","35.0%","17.0%","22.9%","13510"
"Ronald Acuna Jr.","ATL","22","160","46","14","29","8",".250","18.8%","29.7%","22.0%","35.0%","43.0%","7.0%","2.9%","0.0%","5.9","23.5%","65.7%","40.5%","65.0%","74.6%","71.3%","40.3%","56.4%","11.6%","42.0%","35.0%","23.0%","17.0%","32.0%","51.0%","55.4%","92.4","18.6","16.0%","114.8","57.0%","16.8%","28.4%","18401"
"Ramon Urias","BAL","26","25","3","1","3","0",".360","7.4%","22.2%","31.6%","47.4%","21.1%","0.0%","0.0%","0.0%","0.8","27.9%","61.7%","42.6%","58.8%","86.2%","76.1%","43.5%","66.7%","10.2%","26.3%","42.1%","31.6%","5.3%","36.8%","57.9%","33.3%","90.9","6.9","5.3%","106.7","47.4%","18.5%","28.7%","18795"
"Trea Turner","WSN","27","233","46","12","41","12",".335","8.5%","13.9%","20.6%","44.7%","34.7%","7.2%","12.4%","0.0%","7.3","29.0%","71.9%","46.9%","68.6%","88.3%","81.2%","41.6%","64.5%","8.8%","30.7%","38.7%","30.7%","16.1%","47.2%","36.7%","27.0%","90.5","9.5","9.0%","111.2","40.7%","17.2%","26.0%","16252"
"Dominic Smith","NYM","25","177","27","10","42","0",".316","7.0%","22.6%","25.9%","40.7%","33.3%","2.2%","5.5%","0.0%","2.5","37.1%","73.1%","51.9%","64.2%","84.6%","76.1%","41.2%","54.3%","12.4%","44.4%","35.6%","20.0%","10.4%","51.9%","37.8%","34.7%","89.8","10.8","13.3%","110.7","46.7%","14.8%","27.2%","15653"
"Nelson Cruz","MIN","39","185","33","16","33","0",".303","11.7%","27.1%","22.8%","46.5%","30.7%","10.3%","5.1%","0.0%","1.2","33.8%","69.6%","47.6%","52.3%","80.2%","68.0%","38.5%","55.6%","15.2%","34.6%","37.8%","27.6%","14.2%","47.2%","38.6%","46.3%","91.6","9.4","15.0%","114.4","46.5%","14.3%","29.6%","2434"
"Jose Abreu","CHW","33","240","43","19","60","0",".317","6.9%","22.5%","23.6%","44.5%","31.9%","8.6%","7.4%","0.0%","1.5","36.4%","68.1%","48.5%","58.9%","82.4%","71.5%","38.2%","59.2%","13.8%","37.9%","38.5%","23.6%","13.2%","47.3%","39.6%","36.6%","92.9","10.9","14.3%","114.0","53.3%","15.5%","29.3%","15676"
"Will Smith","LAD","25","114","23","8","25","0",".289","14.6%","16.1%","26.9%","23.7%","49.5%","6.5%","4.5%","0.0%","1.6","18.2%","64.6%","38.2%","76.2%","88.2%","85.0%","43.1%","51.8%","5.7%","38.7%","36.6%","24.7%","8.6%","50.5%","40.9%","36.5%","90.8","24.2","12.9%","108.8","46.2%","18.9%","24.6%","19197"
"Salvador Perez","KCR","30","150","22","11","32","1",".333","1.9%","23.1%","27.0%","35.7%","37.4%","4.7%","9.8%","0.0%","2.8","47.2%","78.5%","58.8%","62.9%","89.0%","75.8%","37.1%","65.4%","14.2%","46.1%","36.5%","17.4%","12.2%","45.2%","42.6%","32.1%","91.0","14.2","13.9%","110.4","47.0%","10.3%","24.5%","7304"
"Phillip Evans","PIT","27","39","6","1","9","0",".359","11.1%","15.6%","18.8%","46.9%","34.4%","18.2%","6.7%","0.0%","2.0","29.0%","71.2%","46.5%","40.7%","78.7%","64.9%","41.5%","64.4%","16.4%","43.8%","40.6%","15.6%","21.9%","50.0%","28.1%","28.9%","85.5","7.6","3.1%","109.8","34.4%","15.1%","31.4%","12950"
"Brent Rooker","MIN","25","19","4","1","5","0",".316","0.0%","23.8%","42.9%","35.7%","21.4%","0.0%","0.0%","0.0%","2.6","33.3%","75.7%","51.8%","75.0%","75.0%","75.0%","43.5%","61.9%","12.9%","64.3%","7.1%","28.6%","14.3%","50.0%","35.7%","28.6%","89.1","5.4","14.3%","112.2","50.0%","15.3%","28.2%","19627"
"Jose Iglesias","BAL","30","142","16","3","24","0",".373","2.0%","11.3%","35.7%","42.9%","21.4%","11.1%","9.3%","0.0%","1.1","37.7%","61.6%","48.6%","75.9%","93.1%","85.8%","45.6%","59.3%","6.9%","42.1%","34.9%","23.0%","23.0%","48.4%","28.6%","15.3%","86.2","7.6","3.2%","110.2","35.7%","19.8%","26.6%","10231"
"Mike Trout","LAA","28","199","41","17","46","1",".281","14.5%","23.2%","24.5%","25.2%","50.3%","8.1%","10.8%","0.0%","4.3","17.4%","59.9%","36.7%","68.0%","87.4%","82.4%","45.4%","61.4%","6.5%","38.1%","33.3%","28.6%","10.2%","48.3%","41.5%","44.8%","93.7","23.1","15.0%","112.9","55.1%","22.1%","28.5%","10155"
"Mike Yastrzemski","SFG","29","192","39","10","35","2",".297","13.3%","24.4%","19.0%","38.7%","42.3%","12.1%","3.8%","0.0%","5.8","23.4%","59.7%","38.9%","64.3%","82.9%","76.5%","42.8%","60.4%","9.1%","43.1%","35.8%","21.2%","19.7%","43.1%","37.2%","42.2%","88.2","18.4","10.9%","105.6","42.3%","21.0%","30.1%","14854"
"Cesar Puello","BOS","29","8","1","0","0","0",".375","18.2%","18.2%","16.7%","83.3%","0.0%","0.0%","0.0%","0.0%","0.8","19.0%","71.4%","40.0%","75.0%","90.0%","85.7%","40.0%","63.6%","5.7%","28.6%","57.1%","14.3%","14.3%","57.1%","28.6%","36.4%","92.3","-17.5","0.0%","106.9","42.9%","17.1%","22.9%","7216"
"Elliot Soto","LAA","30","6","2","0","0","0",".333","14.3%","14.3%","40.0%","60.0%","0.0%","0.0%","0.0%","0.0%","2.6","40.0%","66.7%","50.0%","16.7%","83.3%","50.0%","37.5%","71.4%","25.0%","20.0%","0.0%","80.0%","0.0%","60.0%","40.0%","28.6%","87.2","-3.4","0.0%","94.1","0.0%","12.5%","37.5%","11155"
"Jake Marisnick","NYM","29","33","4","2","5","0",".333","2.9%","29.4%","26.1%","52.2%","21.7%","40.0%","33.3%","0.0%","0.8","38.4%","72.7%","53.1%","46.4%","82.5%","67.6%","43.0%","73.5%","17.2%","60.9%","26.1%","13.0%","21.7%","43.5%","34.8%","38.2%","87.1","7.2","4.3%","107.9","30.4%","16.4%","33.6%","11339"
"Michael Conforto","NYM","27","202","40","9","31","3",".322","10.3%","24.5%","30.3%","41.4%","28.3%","7.3%","6.7%","0.0%","3.2","27.7%","68.6%","44.2%","57.8%","86.8%","76.0%","40.3%","60.5%","10.6%","32.4%","39.3%","28.3%","14.5%","49.0%","36.6%","38.6%","88.4","11.0","11.0%","114.4","36.6%","17.3%","27.9%","16376"
"Bobby Dalbec","BOS","25","80","13","8","16","0",".263","10.9%","42.4%","19.5%","36.6%","43.9%","11.1%","6.7%","0.0%","0.9","35.6%","69.9%","48.7%","35.7%","73.5%","56.5%","38.2%","62.0%","21.2%","41.5%","34.1%","24.4%","17.1%","41.5%","41.5%","62.0%","89.9","14.8","22.0%","110.4","43.9%","14.4%","35.6%","19966"
"Bryce Harper","PHI","27","190","41","13","33","8",".268","20.1%","17.6%","18.1%","36.1%","45.8%","3.0%","3.8%","33.3%","6.0","31.1%","75.0%","45.7%","57.9%","84.8%","72.6%","33.3%","58.6%","12.5%","38.7%","34.0%","27.3%","9.3%","50.7%","40.0%","43.0%","92.5","16.0","17.3%","114.7","50.7%","11.0%","23.5%","11579"
"Wil Myers","SDP","29","198","34","15","40","2",".288","8.3%","25.7%","23.4%","38.3%","38.3%","5.6%","5.6%","100.0%","4.8","25.8%","65.0%","41.8%","55.0%","85.2%","74.1%","40.7%","60.6%","10.8%","39.4%","33.1%","27.5%","11.3%","40.8%","47.9%","40.8%","91.0","13.4","14.8%","109.2","45.8%","20.2%","31.0%","10047"
"Yordan Alvarez","HOU","23","8","2","1","4","0",".250","0.0%","11.1%","14.3%","57.1%","28.6%","0.0%","0.0%","0.0%","2.6","14.3%","78.6%","40.0%","66.7%","100.0%","92.9%","40.0%","44.4%","2.9%","42.9%","28.6%","28.6%","14.3%","28.6%","57.1%","22.2%","98.6","6.4","0.0%","113.1","71.4%","20.0%","22.9%","19556"
"Jesse Winker","CIN","26","149","27","12","23","1",".255","15.3%","25.1%","23.1%","48.1%","28.8%","6.7%","0.0%","0.0%","2.7","22.5%","67.1%","40.0%","64.5%","79.6%","74.4%","39.2%","57.4%","10.2%","46.2%","31.7%","22.1%","10.6%","40.4%","49.0%","47.0%","92.1","10.5","13.5%","113.0","49.0%","17.0%","27.2%","13590"
"Deivy Grullon","BOS","24","3","0","0","1","0",".333","25.0%","25.0%","50.0%","0.0%","50.0%","100.0%","0.0%","0.0%","0.1","50.0%","50.0%","50.0%","62.5%","100.0%","70.0%","20.0%","50.0%","15.0%","50.0%","0.0%","50.0%","100.0%","0.0%","0.0%","50.0%","73.7","50.9","0.0%","83.4","0.0%","10.0%","25.0%","15988"
"Anthony Rendon","LAA","30","189","29","9","31","0",".286","16.4%","13.4%","20.9%","35.4%","43.7%","11.6%","3.6%","0.0%","2.0","20.8%","68.3%","40.5%","70.4%","93.7%","86.7%","41.5%","60.8%","5.4%","43.7%","36.7%","19.6%","9.5%","46.8%","43.7%","33.6%","90.1","19.6","6.3%","109.1","39.9%","18.6%","24.0%","12861"
"Austin Slater","SFG","27","85","18","5","7","8",".282","15.4%","21.2%","28.6%","39.7%","31.7%","5.0%","8.0%","0.0%","7.8","23.7%","65.4%","41.3%","61.0%","83.2%","75.8%","42.2%","69.2%","10.0%","37.5%","35.9%","26.6%","14.1%","54.7%","31.3%","41.3%","89.2","10.9","14.1%","109.1","45.3%","21.1%","31.1%","16153"
"Mike Brosseau","TBR","26","86","12","5","12","2",".302","8.2%","31.6%","17.9%","44.6%","37.5%","4.8%","12.0%","0.0%","6.1","29.9%","66.0%","44.8%","59.1%","72.8%","67.5%","41.4%","56.1%","14.6%","50.0%","28.6%","21.4%","7.1%","46.4%","46.4%","44.9%","90.9","15.1","8.9%","108.1","42.9%","19.1%","33.7%","19683"
"Corey Seager","LAD","26","212","38","15","41","1",".307","7.3%","15.9%","22.6%","38.4%","39.0%","1.4%","7.4%","0.0%","3.9","33.8%","84.8%","55.8%","53.5%","87.8%","76.0%","43.1%","63.4%","13.4%","40.7%","32.2%","27.1%","8.5%","39.5%","52.0%","29.7%","93.2","11.9","15.8%","113.1","55.4%","9.0%","22.4%","13624"
"Alex Dickerson","SFG","30","151","28","10","27","0",".298","9.4%","17.6%","19.7%","41.0%","39.3%","12.5%","2.0%","0.0%","3.0","33.7%","76.6%","50.3%","65.6%","87.2%","78.4%","38.8%","50.6%","10.9%","39.3%","32.8%","27.9%","13.9%","45.1%","41.0%","32.9%","90.9","17.8","10.7%","114.6","42.6%","13.2%","24.1%","12649"
"Willi Castro","DET","23","129","21","6","24","0",".349","5.0%","27.1%","26.9%","41.9%","31.2%","0.0%","7.7%","0.0%","4.5","41.1%","75.1%","54.7%","59.1%","83.1%","72.3%","39.9%","59.3%","15.2%","39.4%","39.4%","21.3%","22.3%","48.9%","28.7%","36.4%","85.3","11.3","9.6%","109.6","31.9%","12.9%","28.1%","17338"
"Luke Voit","NYY","29","213","41","22","52","0",".277","7.3%","23.1%","20.0%","40.6%","39.4%","4.8%","7.7%","0.0%","1.7","33.3%","81.2%","52.1%","60.9%","83.1%","74.5%","39.2%","65.8%","13.3%","54.4%","24.4%","21.3%","16.9%","41.3%","41.9%","39.7%","88.9","15.2","13.1%","111.7","40.0%","10.7%","24.0%","14811"
"Jared Walsh","LAA","26","99","19","9","26","0",".293","4.6%","13.9%","14.9%","48.3%","36.8%","9.4%","9.5%","0.0%","4.5","35.7%","69.9%","50.1%","70.4%","85.3%","79.2%","42.2%","53.7%","10.4%","43.7%","27.6%","28.7%","13.8%","43.7%","42.5%","26.9%","88.1","13.2","12.6%","112.8","39.1%","14.2%","24.7%","18607"
"Fernando Tatis Jr.","SDP","21","224","50","17","45","11",".277","10.5%","23.7%","16.5%","48.2%","35.4%","1.7%","6.3%","0.0%","7.3","29.6%","71.5%","46.7%","63.0%","79.2%","73.1%","40.8%","62.3%","12.6%","44.5%","36.0%","19.5%","7.9%","37.2%","54.9%","40.9%","95.9","8.7","19.5%","113.4","62.2%","14.4%","26.9%","19709"
"Travis d'Arnaud","ATL","31","165","19","9","34","1",".321","8.7%","27.2%","26.7%","43.1%","30.2%","2.9%","2.0%","0.0%","2.0","35.4%","69.1%","50.3%","54.5%","82.5%","71.5%","44.1%","67.9%","14.3%","39.7%","33.6%","26.7%","10.3%","44.0%","45.7%","40.8%","93.4","8.1","11.2%","109.7","57.8%","15.5%","29.9%","7739"
"Manny Machado","SDP","27","224","44","16","47","6",".304","10.2%","14.6%","22.0%","37.2%","40.8%","10.3%","11.3%","0.0%","5.0","27.8%","73.3%","46.7%","63.2%","88.4%","79.6%","41.6%","63.8%","9.5%","45.0%","31.4%","23.6%","13.6%","47.6%","38.7%","31.1%","90.2","15.6","11.0%","115.7","43.5%","14.7%","24.3%","11493"
"Mookie Betts","LAD","27","219","47","16","39","10",".292","9.8%","15.4%","21.4%","32.4%","46.2%","7.1%","13.6%","0.0%","6.4","24.9%","59.3%","40.5%","72.2%","95.6%","87.8%","45.5%","68.3%","4.9%","38.5%","34.1%","27.5%","13.2%","42.3%","44.5%","31.7%","90.7","18.5","7.7%","108.5","43.4%","22.3%","27.2%","13611"
"Tomas Nido","NYM","26","24","4","2","6","0",".292","7.7%","23.1%","11.1%","66.7%","22.2%","0.0%","16.7%","0.0%","1.3","29.2%","81.4%","53.8%","71.4%","71.4%","71.4%","47.3%","46.2%","15.4%","55.6%","33.3%","11.1%","16.7%","50.0%","33.3%","38.5%","88.8","-3.9","11.1%","106.0","44.4%","8.8%","24.2%","13755"
"William Contreras","ATL","22","10","0","0","1","0",".400","0.0%","40.0%","66.7%","16.7%","16.7%","0.0%","0.0%","0.0%","0.1","47.4%","76.5%","61.1%","55.6%","69.2%","63.6%","47.2%","100.0%","22.2%","16.7%","66.7%","16.7%","33.3%","33.3%","33.3%","40.0%","84.6","18.0","16.7%","104.9","16.7%","13.9%","36.1%","20503"
"Jackson Frazier","NYY","25","131","24","8","26","3",".267","15.6%","27.5%","25.0%","40.9%","34.1%","6.7%","11.1%","0.0%","5.6","17.8%","62.5%","35.2%","41.3%","82.0%","69.4%","38.8%","55.6%","10.8%","44.3%","29.5%","26.1%","13.6%","54.5%","31.8%","48.1%","89.4","11.6","12.5%","108.8","43.2%","19.3%","30.1%","15983"
"Paul Goldschmidt","STL","32","191","31","6","21","1",".304","16.0%","18.6%","27.5%","34.9%","37.6%","7.1%","13.5%","0.0%","2.5","25.3%","62.6%","40.5%","68.7%","85.9%","79.5%","40.7%","55.8%","8.3%","34.9%","34.2%","30.9%","14.8%","57.0%","28.2%","37.2%","89.2","11.6","10.7%","111.3","40.7%","18.8%","27.1%","9218"
"Brandon Nimmo","NYM","27","186","33","8","18","1",".280","14.7%","19.1%","20.4%","47.2%","32.4%","4.3%","6.0%","100.0%","4.4","21.3%","68.2%","41.2%","65.0%","84.8%","78.9%","42.4%","61.3%","8.7%","35.0%","30.1%","35.0%","21.0%","57.3%","21.7%","37.3%","87.2","7.6","7.7%","106.9","32.2%","18.4%","27.1%","12927"
"Brandon Lowe","TBR","25","193","36","14","37","3",".269","11.2%","25.9%","24.1%","32.8%","43.1%","3.4%","2.2%","0.0%","6.1","26.8%","74.4%","46.8%","47.4%","76.8%","67.1%","42.1%","58.0%","15.4%","45.3%","32.1%","22.6%","13.9%","43.1%","43.1%","43.3%","89.8","18.1","17.5%","111.4","43.1%","13.2%","28.6%","18882"
"Edwin Rios","LAD","26","76","13","8","17","0",".250","4.8%","21.7%","18.6%","33.9%","47.5%","0.0%","0.0%","0.0%","1.6","36.0%","70.2%","50.2%","41.9%","81.2%","64.6%","41.3%","62.7%","17.7%","45.8%","28.8%","25.4%","10.2%","39.0%","50.8%","36.1%","91.5","14.5","13.6%","110.8","45.8%","16.7%","34.5%","18316"
"Teoscar Hernandez","TOR","27","190","33","16","34","6",".289","6.8%","30.4%","25.8%","35.9%","38.3%","6.1%","10.9%","0.0%","4.5","34.3%","63.7%","46.4%","52.1%","76.9%","66.2%","41.3%","63.8%","15.7%","35.9%","42.2%","21.9%","11.6%","39.5%","48.8%","44.9%","93.3","15.3","17.8%","115.9","52.7%","18.7%","34.4%","13066"
"Rhys Hoskins","PHI","27","151","35","10","26","1",".245","15.7%","23.2%","19.4%","28.7%","51.9%","17.9%","12.9%","0.0%","3.7","27.1%","61.9%","41.5%","63.1%","83.8%","75.9%","41.4%","56.8%","10.0%","48.1%","27.8%","24.1%","19.4%","48.1%","32.4%","44.3%","89.8","24.8","14.8%","111.2","42.6%","16.9%","26.9%","16472"
"Alec Bohm","PHI","23","160","24","4","23","1",".338","8.9%","20.0%","21.4%","53.2%","25.4%","0.0%","6.0%","0.0%","2.3","30.1%","72.0%","47.5%","57.8%","87.9%","76.8%","41.6%","63.9%","11.0%","29.4%","43.7%","27.0%","15.9%","56.3%","27.8%","31.1%","90.2","4.8","10.3%","109.6","46.8%","15.7%","26.8%","21618"
"Luis Guillorme","NYM","25","57","6","0","9","2",".333","14.7%","25.0%","31.7%","48.8%","19.5%","12.5%","0.0%","0.0%","3.9","17.9%","65.2%","37.0%","71.4%","86.0%","81.8%","40.4%","60.3%","6.7%","22.0%","31.7%","46.3%","9.8%","51.2%","39.0%","39.7%","89.8","10.7","2.4%","103.6","31.7%","21.1%","27.8%","16451"
"Giancarlo Stanton","NYY","30","76","12","4","11","1",".250","16.0%","28.7%","26.5%","46.9%","26.5%","23.1%","4.3%","0.0%","2.5","23.4%","58.0%","35.9%","59.7%","78.2%","70.5%","36.1%","58.5%","10.6%","57.1%","28.6%","14.3%","20.4%","32.7%","46.9%","48.9%","91.1","8.3","18.0%","121.3","50.0%","19.8%","30.4%","4949"
"George Springer","HOU","30","189","37","14","32","1",".265","10.8%","17.1%","20.9%","35.9%","43.1%","10.6%","10.9%","0.0%","4.4","27.5%","77.3%","47.5%","60.7%","85.1%","76.7%","40.2%","59.0%","11.1%","48.0%","34.9%","17.1%","20.4%","43.4%","36.2%","34.2%","88.7","18.4","12.3%","115.0","41.9%","13.2%","24.2%","12856"
"Darin Ruf","SFG","33","87","11","5","18","1",".276","13.0%","23.0%","28.1%","39.1%","32.8%","4.8%","4.0%","0.0%","2.7","25.0%","60.9%","41.4%","63.2%","78.6%","73.6%","45.7%","59.0%","11.0%","42.2%","34.4%","23.4%","18.8%","51.6%","29.7%","41.0%","89.4","12.5","9.4%","111.7","43.8%","21.0%","31.9%","9929"
