"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Robert Gsellman","NYM","25","0","0","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","0.0%","0.0%","","","","16.7%","","0.0%","","","","","","","100.0%","","","","","","33.3%","33.3%","13696"
"Aaron Wilkerson","MIL","30","3","1","1","2","0",".333","0.0%","33.3%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.1","12.5%","83.3%","42.9%","100.0%","100.0%","100.0%","42.9%","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","50.0%","50.0%","66.7%","87.9","-4.5","0.0%","97.0","50.0%","28.6%","28.6%","16904"
"Caleb Ferguson","LAD","22","2","1","0","0","0",".500","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","2.6","33.3%","66.7%","55.6%","100.0%","100.0%","100.0%","66.7%","50.0%","0.0%","0.0%","50.0%","50.0%","50.0%","50.0%","0.0%","0.0%","80.3","-39.5","0.0%","88.5","0.0%","33.3%","33.3%","19349"
"Trent Thornton","TOR","25","3","2","0","0","0",".667","0.0%","0.0%","33.3%","66.7%","0.0%","0.0%","0.0%","0.0%","2.6","33.3%","75.0%","57.1%","100.0%","100.0%","100.0%","57.1%","66.7%","0.0%","33.3%","0.0%","66.7%","33.3%","33.3%","33.3%","0.0%","88.6","4.0","0.0%","101.4","66.7%","14.3%","14.3%","17948"
"Christian Colon","CIN","30","6","1","0","1","0",".500","0.0%","0.0%","0.0%","83.3%","16.7%","0.0%","20.0%","0.0%","1.6","33.3%","80.0%","50.0%","50.0%","100.0%","78.6%","35.7%","50.0%","10.7%","16.7%","66.7%","16.7%","16.7%","50.0%","33.3%","0.0%","81.3","-5.8","0.0%","89.7","0.0%","14.3%","25.0%","11145"
"Jacob Nottingham","MIL","24","6","1","1","4","0",".333","0.0%","28.6%","0.0%","25.0%","75.0%","0.0%","0.0%","0.0%","0.1","21.1%","60.0%","38.2%","75.0%","66.7%","69.2%","44.1%","28.6%","11.8%","0.0%","25.0%","75.0%","0.0%","75.0%","25.0%","42.9%","93.5","29.8","0.0%","98.7","50.0%","17.6%","29.4%","16448"
"Tyrone Taylor","MIL","25","10","1","0","1","0",".400","8.3%","8.3%","11.1%","88.9%","0.0%","0.0%","0.0%","0.0%","0.8","13.6%","61.9%","37.2%","33.3%","100.0%","87.5%","48.8%","66.7%","4.7%","33.3%","22.2%","44.4%","33.3%","44.4%","22.2%","16.7%","79.1","-5.8","0.0%","99.1","11.1%","25.6%","30.2%","13675"
"Shelby Miller","TEX","28","1","0","0","0","0",".000","66.7%","33.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","10.0%","50.0%","21.4%","100.0%","50.0%","66.7%","28.6%","66.7%","7.1%","","","","","","","100.0%","","","","","","14.3%","21.4%","10197"
"Lane Thomas","STL","23","38","6","4","12","1",".316","9.1%","18.2%","26.7%","46.7%","26.7%","25.0%","14.3%","0.0%","4.9","22.0%","65.3%","40.6%","68.2%","89.8%","83.1%","42.9%","38.6%","6.9%","33.3%","36.7%","30.0%","20.0%","36.7%","43.3%","36.4%","91.7","6.4","13.3%","108.7","43.3%","20.6%","27.4%","16939"
"Christian Yelich","MIL","27","489","100","44","97","30",".329","13.8%","20.3%","20.9%","43.2%","35.9%","7.5%","6.2%","0.0%","6.2","30.6%","71.2%","45.2%","56.8%","87.0%","73.8%","35.9%","54.8%","11.8%","39.3%","37.4%","23.3%","14.4%","34.8%","50.8%","41.7%","93.3","11.3","15.8%","117.9","48.7%","14.0%","25.8%","11477"
"Mike Trout","LAA","27","470","110","45","104","11",".291","18.3%","20.0%","26.6%","24.3%","49.2%","9.8%","11.6%","0.0%","4.9","20.5%","61.2%","36.8%","69.2%","88.8%","82.3%","40.1%","52.5%","6.5%","42.4%","33.3%","24.3%","13.0%","43.2%","43.8%","45.8%","90.9","22.2","17.5%","116.6","43.8%","19.3%","25.8%","10155"
"David Price","BOS","33","2","0","0","1","0",".500","0.0%","50.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.1","","75.0%","75.0%","","66.7%","66.7%","100.0%","100.0%","25.0%","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","50.0%","89.1","-10.0","0.0%","89.1","0.0%","25.0%","50.0%","3184"
"Jesse Chavez","TEX","35","2","0","0","0","0",".500","0.0%","50.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","50.0%","25.0%","33.3%","0.0%","100.0%","50.0%","66.7%","100.0%","16.7%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","50.0%","80.1","14.0","0.0%","80.1","0.0%","66.7%","83.3%","5448"
"Brett Anderson","OAK","31","8","1","0","0","0",".500","0.0%","25.0%","40.0%","60.0%","0.0%","0.0%","0.0%","0.0%","1.1","27.3%","58.3%","43.5%","33.3%","85.7%","70.0%","52.2%","75.0%","13.0%","0.0%","33.3%","66.7%","33.3%","50.0%","16.7%","25.0%","87.2","-1.6","0.0%","97.3","33.3%","34.8%","47.8%","8223"
"Chris Flexen","NYM","24","2","0","0","0","0",".500","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","66.7%","40.0%","","100.0%","100.0%","60.0%","100.0%","0.0%","50.0%","50.0%","0.0%","50.0%","50.0%","0.0%","0.0%","81.3","-3.5","0.0%","93.0","0.0%","20.0%","20.0%","13896"
"Matthew Boyd","DET","28","2","0","0","0","0",".500","0.0%","50.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.1","33.3%","100.0%","66.7%","100.0%","100.0%","100.0%","50.0%","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","50.0%","96.0","3.0","0.0%","96.0","100.0%","16.7%","16.7%","15440"
"Dennis Santana","LAD","23","2","0","0","0","0",".500","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.1","40.0%","75.0%","55.6%","50.0%","100.0%","80.0%","44.4%","100.0%","11.1%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","90.4","7.0","0.0%","94.3","0.0%","11.1%","22.2%","17878"
"Yordan Alvarez","HOU","22","313","58","27","78","0",".313","14.1%","25.5%","24.9%","38.0%","37.1%","1.2%","3.6%","0.0%","1.1","30.7%","63.0%","43.2%","64.1%","84.9%","75.9%","38.8%","53.4%","10.4%","38.5%","37.6%","24.0%","10.0%","38.9%","51.1%","46.9%","92.2","13.4","16.3%","117.9","48.4%","16.5%","27.0%","19556"
"Alex Bregman","HOU","25","554","122","41","112","5",".296","17.2%","12.0%","22.5%","31.5%","45.9%","11.8%","2.0%","0.0%","3.8","18.8%","58.8%","35.1%","77.0%","91.7%","87.0%","40.6%","55.2%","4.6%","45.3%","36.3%","18.4%","14.8%","40.3%","44.9%","35.2%","89.3","19.6","4.6%","107.4","37.2%","20.4%","25.0%","17678"
"Nelson Cruz","MIN","38","454","81","41","108","0",".311","10.7%","25.1%","20.2%","39.6%","40.2%","7.6%","9.3%","0.0%","1.3","30.5%","72.0%","46.2%","53.6%","80.9%","69.7%","37.8%","54.5%","14.0%","41.7%","32.8%","25.5%","12.0%","35.6%","52.5%","43.8%","93.7","13.1","18.7%","117.0","51.4%","13.4%","27.4%","2434"
"Andrew Stevenson","WSN","25","30","4","0","0","0",".367","16.2%","29.7%","22.2%","50.0%","27.8%","20.0%","11.1%","100.0%","4.3","35.4%","71.8%","49.5%","62.5%","78.4%","71.4%","38.6%","70.3%","14.1%","31.6%","31.6%","36.8%","21.1%","57.9%","21.1%","45.9%","84.6","12.1","10.5%","103.0","31.6%","11.4%","25.5%","17932"
"David Freese","LAD","36","162","35","11","29","0",".315","12.4%","23.7%","25.4%","44.1%","30.5%","8.3%","1.9%","0.0%","1.9","29.3%","64.6%","44.8%","58.5%","79.7%","71.9%","43.9%","62.4%","12.6%","33.9%","26.3%","39.8%","10.2%","42.4%","47.5%","41.9%","91.5","11.0","15.3%","110.0","50.0%","18.3%","30.9%","9549"
"Cody Bellinger","LAD","23","558","121","47","115","15",".305","14.4%","16.4%","26.2%","31.5%","42.4%","8.9%","10.6%","75.0%","5.0","26.8%","70.4%","44.4%","69.5%","83.0%","78.1%","40.4%","53.9%","9.7%","47.9%","32.3%","19.8%","13.2%","37.6%","49.2%","37.9%","91.1","17.9","12.6%","110.6","45.6%","14.9%","24.6%","15998"
"Ryan Lavarnway","CIN","31","18","4","2","7","0",".278","5.3%","26.3%","23.1%","38.5%","38.5%","0.0%","0.0%","0.0%","2.6","33.3%","65.7%","48.6%","69.2%","82.6%","77.8%","47.3%","78.9%","10.8%","30.8%","38.5%","30.8%","7.7%","53.8%","38.5%","42.1%","88.0","10.5","7.7%","104.3","38.5%","20.3%","31.1%","8879"
"Edwin Rios","LAD","25","47","10","4","8","0",".277","16.1%","37.5%","26.9%","46.2%","26.9%","0.0%","8.3%","0.0%","4.1","28.5%","68.6%","44.5%","53.3%","80.6%","70.1%","39.9%","55.4%","13.3%","38.5%","26.9%","34.6%","11.5%","30.8%","57.7%","60.7%","95.0","5.4","26.9%","112.5","65.4%","16.3%","29.7%","18316"
"Anthony Rendon","WSN","29","545","117","34","126","5",".319","12.4%","13.3%","21.2%","33.1%","45.7%","10.3%","5.2%","0.0%","4.4","23.8%","70.1%","43.1%","77.8%","93.2%","88.3%","41.8%","57.6%","5.1%","42.1%","32.9%","25.0%","16.9%","38.5%","44.7%","31.0%","90.4","19.6","10.9%","107.7","46.6%","17.2%","22.3%","12861"
"Sam Hilliard","COL","25","77","13","7","13","2",".273","10.3%","26.4%","18.5%","42.6%","38.9%","0.0%","0.0%","0.0%","6.8","28.8%","60.5%","41.8%","66.2%","78.9%","73.8%","41.0%","60.9%","11.0%","53.7%","31.5%","14.8%","18.5%","44.4%","37.0%","44.8%","90.8","8.4","13.0%","114.1","42.6%","18.8%","29.8%","17954"
"Abraham Almonte","ARI","30","31","11","1","4","0",".290","18.4%","21.1%","26.1%","43.5%","30.4%","42.9%","0.0%","0.0%","5.1","26.4%","71.2%","45.2%","54.2%","85.1%","74.6%","42.0%","65.8%","11.5%","47.8%","26.1%","26.1%","26.1%","30.4%","43.5%","42.1%","89.7","9.2","4.3%","111.9","43.5%","14.6%","26.1%","5486"
"Brock Stewart","- - -","27","3","1","0","0","0",".333","0.0%","0.0%","33.3%","0.0%","66.7%","50.0%","0.0%","0.0%","2.6","40.0%","66.7%","54.5%","50.0%","75.0%","66.7%","54.5%","33.3%","18.2%","33.3%","0.0%","66.7%","33.3%","33.3%","33.3%","0.0%","83.7","48.0","0.0%","99.0","33.3%","18.2%","36.4%","16727"
"Ketel Marte","ARI","25","569","97","32","92","10",".329","8.4%","13.7%","22.2%","43.1%","34.8%","8.3%","4.3%","100.0%","5.9","31.8%","71.6%","47.6%","73.3%","90.6%","83.6%","39.7%","58.1%","7.8%","43.7%","35.5%","20.8%","15.7%","42.3%","42.1%","27.2%","90.0","11.6","9.1%","116.3","40.0%","14.6%","22.4%","13613"
"Mitch Garver","MIN","28","311","70","31","67","0",".273","11.4%","24.2%","13.7%","38.9%","47.3%","9.3%","6.8%","0.0%","2.8","20.0%","55.6%","35.0%","54.9%","88.0%","77.0%","41.9%","56.3%","8.1%","51.3%","27.4%","21.2%","18.1%","34.5%","47.3%","44.3%","91.1","15.3","15.0%","109.7","50.0%","23.8%","31.8%","15161"
"Joey Gallo","TEX","25","241","54","22","49","4",".253","17.5%","38.4%","25.6%","27.2%","47.2%","11.9%","8.8%","75.0%","4.7","24.2%","65.5%","40.7%","35.8%","73.1%","59.8%","39.9%","52.2%","16.4%","52.7%","26.4%","20.9%","13.2%","34.9%","51.9%","63.3%","94.8","22.4","25.6%","115.4","52.7%","15.7%","32.1%","14128"
"George Springer","HOU","29","479","96","39","96","6",".292","12.1%","20.3%","19.7%","44.6%","35.7%","8.3%","7.9%","0.0%","4.6","22.8%","72.1%","44.0%","56.5%","82.7%","75.0%","43.0%","61.3%","11.0%","40.3%","37.0%","22.7%","16.5%","38.4%","45.1%","39.4%","89.8","10.4","12.2%","114.3","43.2%","14.8%","25.8%","12856"
"Howie Kendrick","WSN","35","334","61","17","62","2",".344","7.3%","13.2%","18.7%","48.4%","32.9%","2.1%","4.3%","0.0%","3.3","33.1%","66.3%","47.5%","71.9%","92.5%","84.3%","43.2%","66.2%","7.4%","34.1%","39.7%","26.2%","14.1%","40.3%","45.5%","25.1%","91.7","10.8","10.3%","112.4","48.3%","18.7%","26.1%","4229"
"Fernando Tatis Jr.","SDP","20","334","61","22","53","16",".317","8.1%","29.6%","22.4%","46.6%","30.9%","5.8%","14.4%","50.0%","7.1","31.8%","72.6%","47.6%","46.3%","81.5%","67.1%","38.8%","60.5%","15.7%","41.9%","36.6%","21.6%","21.1%","37.0%","41.9%","43.5%","90.4","6.7","12.8%","115.9","44.1%","14.4%","30.1%","19709"
"Juan Soto","WSN","20","542","110","34","110","12",".282","16.4%","20.0%","21.2%","41.6%","37.2%","4.6%","4.7%","20.0%","5.8","23.4%","68.6%","40.8%","62.1%","86.6%","77.9%","38.5%","55.5%","9.0%","39.4%","34.1%","26.4%","12.5%","46.2%","41.3%","41.6%","92.0","12.5","11.3%","112.8","47.8%","16.1%","25.1%","20123"
"Austin Hays","BAL","23","68","12","4","13","2",".309","9.3%","17.3%","22.2%","40.7%","37.0%","0.0%","13.6%","100.0%","4.8","34.7%","63.6%","46.4%","61.7%","84.0%","74.1%","40.5%","68.0%","12.0%","40.0%","32.7%","27.3%","7.3%","61.8%","30.9%","32.0%","91.0","11.5","5.5%","108.5","41.8%","16.2%","28.2%","19363"
"Nolan Arenado","COL","28","588","102","41","118","3",".315","9.4%","14.0%","19.3%","36.0%","44.7%","15.1%","9.4%","0.0%","3.1","37.9%","73.3%","51.4%","69.5%","89.3%","80.3%","38.3%","61.9%","10.1%","42.5%","34.4%","23.1%","16.9%","40.6%","42.5%","29.6%","89.4","17.6","6.8%","109.9","37.6%","12.6%","22.7%","9777"
"Anthony Rizzo","CHC","29","512","89","27","94","5",".293","11.6%","14.0%","25.3%","42.9%","31.9%","9.6%","3.3%","50.0%","4.0","33.8%","65.3%","45.5%","74.5%","88.6%","82.0%","37.4%","51.4%","8.2%","42.9%","32.4%","24.7%","18.4%","44.3%","37.3%","30.0%","89.0","12.6","6.5%","113.4","36.8%","16.0%","24.2%","3473"
"Xander Bogaerts","BOS","26","614","110","33","117","4",".309","10.9%","17.5%","19.1%","41.2%","39.8%","6.1%","10.2%","0.0%","2.7","29.4%","57.7%","41.1%","68.6%","89.4%","80.7%","41.3%","57.2%","7.9%","42.6%","32.9%","24.5%","14.1%","47.2%","38.8%","33.1%","90.6","13.3","8.0%","112.4","43.6%","22.4%","30.4%","12161"
"Keston Hiura","MIL","22","314","51","19","49","9",".303","7.2%","30.7%","24.0%","38.0%","38.0%","8.9%","3.8%","0.0%","5.6","35.1%","73.5%","51.3%","48.7%","76.9%","65.8%","42.3%","62.6%","17.5%","30.3%","40.4%","29.3%","16.8%","38.9%","44.2%","43.4%","91.4","16.4","12.5%","112.4","48.1%","13.3%","30.9%","20003"
"Charlie Blackmon","COL","32","580","112","32","86","2",".314","6.3%","16.4%","23.0%","39.2%","37.8%","7.7%","4.8%","100.0%","4.6","33.3%","70.8%","49.7%","70.2%","88.6%","81.7%","43.7%","62.0%","9.1%","42.8%","32.8%","24.3%","15.6%","44.1%","40.3%","27.8%","88.7","14.5","7.9%","110.6","40.3%","15.6%","24.7%","7859"
"Freddie Freeman","ATL","29","597","113","38","121","6",".295","12.6%","18.4%","27.5%","38.3%","34.1%","4.3%","2.8%","0.0%","3.8","32.9%","82.6%","51.9%","69.0%","82.7%","77.4%","38.3%","55.1%","11.7%","40.5%","30.9%","28.6%","12.3%","40.9%","46.8%","36.4%","89.7","14.3","11.7%","112.0","42.4%","9.1%","20.9%","5361"
"J.D. Martinez","BOS","31","575","98","36","105","2",".304","11.0%","21.0%","22.4%","42.8%","34.8%","2.6%","7.4%","0.0%","3.1","31.8%","75.7%","49.5%","56.2%","86.8%","75.0%","40.2%","61.6%","12.3%","41.2%","32.4%","26.5%","10.2%","43.9%","45.9%","37.4%","91.3","12.5","10.8%","112.6","47.0%","13.2%","25.5%","6184"
"Mark Canha","OAK","30","410","80","26","58","3",".273","13.5%","21.5%","18.4%","41.0%","40.7%","18.5%","9.6%","0.0%","4.3","25.0%","61.4%","40.4%","70.6%","83.8%","79.1%","42.4%","60.4%","8.5%","49.5%","29.5%","21.0%","18.4%","42.0%","39.7%","40.2%","89.1","15.2","8.9%","110.9","40.7%","19.8%","28.2%","11445"
"Jeff McNeil","NYM","27","510","83","23","75","5",".318","6.2%","13.2%","22.1%","43.3%","34.7%","6.0%","8.6%","50.0%","3.3","41.7%","85.0%","59.9%","71.5%","88.1%","81.4%","42.0%","64.2%","11.1%","46.3%","31.4%","22.2%","11.2%","50.9%","37.8%","23.5%","89.0","13.8","4.4%","107.2","36.7%","7.6%","18.7%","15362"
"Bo Bichette","TOR","21","196","32","11","21","4",".311","6.6%","23.6%","22.6%","43.8%","33.6%","10.2%","10.9%","100.0%","3.3","38.6%","75.0%","53.3%","70.6%","81.1%","76.6%","40.5%","65.1%","12.5%","39.5%","29.9%","30.6%","15.6%","51.7%","32.7%","35.4%","90.0","10.4","8.2%","108.0","43.5%","14.1%","26.5%","19612"
"Pete Alonso","NYM","24","597","103","53","120","1",".260","10.4%","26.4%","18.0%","40.5%","41.5%","13.3%","7.1%","0.0%","2.7","34.6%","68.1%","46.6%","62.0%","83.4%","73.2%","35.9%","59.0%","12.5%","45.8%","36.7%","17.5%","15.8%","42.0%","42.2%","44.4%","90.7","14.8","14.6%","118.3","42.2%","15.4%","27.9%","19251"
"Jordan Luplow","CLE","25","225","42","15","38","3",".276","12.6%","23.4%","20.7%","40.2%","39.0%","7.8%","7.6%","0.0%","4.2","22.7%","75.2%","44.7%","59.6%","82.6%","75.9%","42.0%","56.7%","10.8%","49.7%","30.3%","20.0%","12.1%","47.9%","40.0%","41.8%","89.6","16.1","11.5%","108.8","38.8%","14.9%","25.7%","16424"
"Johnny Davis","TBR","29","4","5","0","0","0",".250","0.0%","50.0%","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","5.1","77.8%","100.0%","84.6%","57.1%","100.0%","72.7%","30.8%","75.0%","23.1%","50.0%","0.0%","50.0%","0.0%","100.0%","0.0%","50.0%","90.8","27.5","0.0%","92.7","0.0%","0.0%","23.1%","15830"
"Aaron Judge","NYY","27","378","75","27","55","3",".272","14.3%","31.5%","27.3%","40.3%","32.4%","2.6%","6.3%","0.0%","3.6","24.6%","68.1%","41.9%","40.3%","78.6%","65.1%","39.8%","61.3%","14.6%","38.7%","34.5%","26.9%","9.2%","37.0%","53.8%","51.9%","96.0","11.2","19.7%","118.1","56.9%","17.0%","31.7%","15640"
"Eugenio Suarez","CIN","27","575","87","49","103","3",".271","10.6%","28.5%","21.7%","36.0%","42.3%","11.4%","7.1%","0.0%","2.8","26.6%","68.6%","44.4%","51.3%","84.6%","73.1%","42.3%","61.8%","12.0%","52.0%","26.8%","21.2%","15.1%","38.3%","46.7%","46.5%","89.3","17.7","12.8%","112.3","40.1%","17.3%","29.2%","12552"
"Carlos Correa","HOU","24","280","42","21","59","1",".279","10.9%","23.4%","21.3%","39.1%","39.6%","9.8%","13.6%","0.0%","2.7","31.1%","62.6%","44.3%","66.4%","84.4%","77.1%","42.0%","56.4%","10.2%","38.6%","34.8%","26.6%","20.8%","34.3%","44.9%","40.8%","89.0","12.5","12.4%","112.8","40.2%","19.0%","29.1%","14162"
"Mookie Betts","BOS","26","597","135","29","80","16",".295","13.7%","14.3%","24.8%","31.5%","43.8%","10.0%","6.9%","0.0%","6.3","21.4%","61.5%","38.3%","71.9%","93.7%","86.6%","42.3%","55.1%","5.1%","43.6%","33.7%","22.8%","11.5%","45.5%","43.0%","32.2%","91.0","19.2","9.3%","109.3","46.9%","20.6%","25.7%","13611"
"Trevor Story","COL","26","588","111","35","85","23",".294","8.8%","26.5%","24.3%","33.4%","42.3%","7.4%","7.2%","100.0%","6.6","31.5%","72.0%","48.0%","60.1%","84.8%","75.2%","40.8%","57.9%","11.9%","39.6%","32.1%","28.3%","12.2%","43.9%","43.9%","40.7%","91.0","17.5","7.7%","111.8","46.0%","14.1%","26.0%","12564"
"Randy Arozarena","STL","24","20","4","1","2","2",".300","8.7%","17.4%","12.5%","56.3%","31.3%","20.0%","22.2%","0.0%","5.8","26.8%","66.7%","43.9%","86.7%","71.4%","76.7%","42.9%","69.6%","10.2%","43.8%","31.3%","25.0%","25.0%","37.5%","37.5%","30.4%","90.7","5.6","6.3%","107.8","37.5%","17.3%","27.6%","19290"
"Carlos Santana","CLE","33","573","110","34","93","4",".281","15.7%","15.7%","17.1%","45.2%","37.7%","9.1%","6.6%","0.0%","3.5","21.2%","66.2%","39.3%","66.2%","87.6%","80.7%","40.4%","54.4%","7.6%","45.6%","34.9%","19.5%","16.3%","40.5%","43.3%","36.4%","91.8","11.7","9.4%","112.8","44.8%","16.9%","24.5%","2396"
"Austin Meadows","TBR","24","530","83","33","89","12",".291","9.1%","22.2%","23.1%","34.1%","42.9%","9.9%","5.1%","0.0%","5.6","27.4%","62.2%","42.2%","63.2%","87.9%","78.6%","42.5%","60.9%","9.0%","45.1%","34.8%","20.1%","13.3%","41.4%","45.4%","36.9%","90.4","16.7","11.5%","115.4","42.9%","19.7%","28.8%","15672"
"Kris Bryant","CHC","27","543","108","31","77","4",".282","11.7%","22.9%","20.9%","35.9%","43.2%","11.6%","5.6%","50.0%","4.0","30.5%","76.0%","48.4%","60.3%","82.6%","74.1%","39.4%","58.4%","12.6%","46.5%","30.0%","23.5%","16.8%","47.5%","35.8%","39.4%","87.6","19.2","8.8%","111.4","33.8%","13.1%","25.7%","15429"
"Yoan Moncada","CHW","24","511","83","25","79","10",".315","7.2%","27.5%","23.1%","42.3%","34.5%","5.6%","4.6%","50.0%","5.6","32.7%","66.9%","47.3%","51.2%","83.3%","70.6%","42.7%","64.6%","13.9%","39.6%","34.3%","26.0%","12.2%","47.9%","39.9%","39.2%","93.1","12.3","10.8%","115.8","47.9%","16.9%","30.8%","17232"
"Giancarlo Stanton","NYY","29","59","8","3","13","0",".288","16.7%","33.3%","22.2%","44.4%","33.3%","16.7%","18.8%","0.0%","0.7","30.3%","56.4%","40.0%","55.0%","78.8%","67.5%","37.1%","56.9%","13.0%","44.4%","38.9%","16.7%","27.8%","30.6%","41.7%","54.2%","92.7","7.9","25.0%","120.6","47.2%","19.4%","32.4%","4949"
"Miguel Sano","MIN","26","380","76","34","79","0",".247","12.5%","36.2%","21.2%","36.9%","41.9%","8.6%","8.5%","0.0%","3.5","27.9%","68.0%","43.6%","42.8%","77.2%","63.8%","39.1%","56.5%","15.8%","55.4%","29.3%","15.3%","9.0%","38.3%","52.7%","56.5%","94.4","15.9","20.3%","114.2","57.2%","15.3%","31.1%","12164"
"Josh Bell","PIT","26","527","94","37","116","0",".277","12.1%","19.2%","18.8%","44.0%","37.3%","6.5%","3.3%","0.0%","2.9","30.2%","77.8%","48.1%","66.0%","83.2%","76.5%","37.7%","54.8%","11.3%","42.5%","33.2%","24.3%","13.2%","41.3%","45.4%","37.4%","92.4","13.1","12.0%","116.2","46.4%","11.4%","22.7%","13145"
