"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Will Smith","SFG","29","1","0","0","2","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","66.7%","33.3%","","100.0%","100.0%","50.0%","50.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","0.0%","95.1","11.0","0.0%","95.1","50.0%","16.7%","16.7%","8048"
"Oliver Drake","TBR","32","1","0","0","1","0","1.000","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","100.0%","75.0%","","100.0%","100.0%","75.0%","100.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","96.2","-1.0","0.0%","96.2","100.0%","0.0%","0.0%","8823"
"R.J. Alaniz","- - -","28","1","0","0","1","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","75.0%","60.0%","","66.7%","66.7%","80.0%","100.0%","20.0%","0.0%","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","83.7","14.0","0.0%","83.7","0.0%","20.0%","40.0%","10819"
"Seth Lugo","NYM","29","1","0","0","1","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","66.7%","40.0%","","100.0%","100.0%","60.0%","100.0%","0.0%","0.0%","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","75.0","15.0","0.0%","75.0","0.0%","40.0%","40.0%","12447"
"John Brebbia","STL","29","1","1","0","0","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.6","100.0%","","100.0%","100.0%","","100.0%","","100.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","70.5","23.0","0.0%","70.5","0.0%","0.0%","0.0%","12777"
"Gregory Soto","DET","24","2","0","0","0","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","50.0%","40.0%","","100.0%","100.0%","80.0%","100.0%","0.0%","0.0%","50.0%","50.0%","0.0%","50.0%","50.0%","0.0%","92.4","13.5","0.0%","105.5","50.0%","40.0%","40.0%","19677"
"Francisco Liriano","PIT","35","1","0","0","0","0","1.000","50.0%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","0.0%","0.1","14.3%","62.5%","40.0%","0.0%","100.0%","83.3%","53.3%","50.0%","6.7%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","50.0%","63.4","-55.0","0.0%","63.4","0.0%","13.3%","20.0%","3201"
"John Means","BAL","26","1","0","0","0","0","1.000","33.3%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.1","28.6%","40.0%","33.3%","100.0%","100.0%","100.0%","41.7%","100.0%","0.0%","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","33.3%","80.7","-34.0","0.0%","80.7","0.0%","16.7%","16.7%","16269"
"Wade LeBlanc","SEA","34","0","0","0","0","0",".000","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","33.3%","14.3%","","100.0%","100.0%","42.9%","100.0%","0.0%","100.0%","0.0%","0.0%","100.0%","0.0%","0.0%","50.0%","","","0.0%","","0.0%","28.6%","28.6%","5221"
"Chasen Shreve","STL","28","0","0","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","0.0%","0.0%","","","","33.3%","","0.0%","","","","","","","100.0%","","","","","","33.3%","33.3%","10855"
