"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Luis Guillorme","NYM","26","132","13","1","5","0",".265","14.7%","14.7%","20.4%","51.9%","27.8%","3.3%","8.9%","50.0%","1.4","25.5%","57.8%","39.6%","80.0%","92.8%","88.2%","43.7%","62.2%","4.7%","26.4%","40.0%","33.6%","15.5%","59.1%","25.5%","30.1%","86.4","4.7","0.9%","101.8","22.7%","21.2%","25.9%","16451"
"Kevin Kiermaier","TBR","31","348","54","4","37","9",".259","8.5%","25.4%","17.9%","57.1%","25.0%","6.3%","10.4%","0.0%","6.8","32.4%","76.6%","51.2%","53.6%","81.5%","71.4%","42.6%","63.1%","14.7%","34.0%","44.3%","21.7%","22.9%","49.0%","28.1%","34.9%","86.6","1.1","4.0%","107.9","36.4%","12.7%","27.3%","11038"
"Anthony Rendon","LAA","31","217","24","6","34","0",".240","11.6%","16.5%","21.9%","31.5%","46.6%","10.8%","0.0%","0.0%","1.0","27.2%","70.4%","46.5%","73.9%","90.0%","84.8%","44.8%","62.2%","7.1%","43.3%","29.2%","27.5%","13.5%","56.7%","29.8%","30.5%","89.1","22.3","5.6%","106.0","38.8%","16.5%","23.5%","12861"
"Anthony Alford","PIT","26","133","14","5","11","5",".233","8.1%","39.2%","20.0%","36.0%","44.0%","3.0%","22.2%","0.0%","5.0","32.9%","71.2%","47.4%","44.8%","77.1%","63.2%","37.9%","61.5%","17.4%","40.0%","37.3%","22.7%","12.0%","53.3%","34.7%","50.7%","89.0","11.8","10.7%","110.9","42.7%","16.0%","33.5%","14329"
"D.J. Stewart","BAL","27","270","39","12","33","0",".204","13.8%","28.0%","15.6%","35.2%","49.2%","18.2%","6.3%","50.0%","1.5","26.6%","73.8%","46.8%","51.0%","81.4%","71.5%","42.8%","60.7%","13.3%","37.6%","34.3%","28.2%","24.3%","44.8%","30.9%","45.6%","87.8","19.7","9.4%","110.6","34.3%","13.4%","26.7%","17766"
"Nick Maton","PHI","24","117","16","2","14","2",".256","7.6%","29.8%","30.4%","32.9%","36.7%","6.9%","15.4%","0.0%","6.1","32.6%","70.2%","50.6%","50.6%","79.7%","69.9%","47.9%","65.6%","15.2%","42.5%","32.5%","25.0%","15.0%","58.8%","26.3%","38.9%","87.8","17.3","6.3%","108.8","33.8%","16.8%","32.0%","21635"
"Sean Murphy","OAK","26","393","47","17","59","0",".216","8.9%","25.4%","19.9%","39.4%","40.8%","12.2%","2.7%","0.0%","1.3","31.6%","69.3%","47.6%","55.7%","85.9%","74.3%","42.3%","63.2%","12.2%","45.0%","33.7%","21.3%","18.8%","47.2%","34.0%","38.2%","89.2","15.4","11.3%","112.8","42.2%","17.1%","29.3%","19352"
"Gio Urshela","NYY","29","420","42","14","49","1",".267","4.5%","24.7%","22.4%","47.8%","29.8%","2.2%","8.7%","0.0%","2.8","39.9%","72.8%","53.9%","66.1%","85.0%","76.9%","42.5%","63.3%","12.4%","34.6%","38.1%","27.2%","15.4%","56.4%","28.2%","32.4%","88.9","7.5","8.0%","110.4","41.0%","14.1%","26.5%","10681"
"Max Kepler","MIN","28","426","61","19","54","10",".211","11.0%","19.6%","18.6%","37.1%","44.3%","10.1%","6.5%","0.0%","6.1","25.3%","71.3%","44.6%","64.5%","86.5%","79.2%","42.0%","55.5%","9.3%","42.5%","35.0%","22.5%","16.5%","47.9%","35.6%","34.5%","89.8","16.3","10.8%","110.8","42.5%","14.8%","24.1%","12144"
"Starlin Castro","WSN","31","315","25","3","38","0",".283","7.5%","17.9%","22.6%","49.4%","28.0%","6.9%","7.1%","0.0%","1.0","30.9%","65.7%","46.1%","65.3%","88.9%","80.0%","43.7%","60.7%","9.2%","34.2%","38.9%","26.8%","16.3%","52.9%","30.7%","26.3%","88.4","9.2","5.4%","111.2","39.5%","18.5%","27.7%","4579"
"Yan Gomes","- - -","33","349","49","14","52","0",".252","5.1%","20.8%","25.4%","38.6%","36.0%","7.1%","3.8%","0.0%","2.4","36.8%","68.8%","50.9%","66.9%","90.4%","80.9%","44.0%","60.3%","9.7%","39.0%","40.8%","20.2%","15.4%","49.6%","34.9%","29.6%","89.6","14.1","8.8%","107.7","37.9%","17.4%","27.2%","9627"
"Kyle Seager","SEA","33","603","73","35","101","3",".212","8.8%","24.0%","17.4%","32.1%","50.6%","13.4%","7.7%","66.7%","2.8","33.0%","73.1%","49.5%","57.9%","81.7%","72.4%","41.3%","57.9%","13.7%","43.5%","34.1%","22.4%","16.8%","46.4%","36.8%","38.1%","89.0","19.5","12.3%","111.0","40.1%","13.8%","27.5%","9785"
"Deven Marrero","MIA","30","16","4","1","1","1",".188","15.8%","31.6%","0.0%","40.0%","60.0%","16.7%","25.0%","0.0%","6.6","27.3%","84.4%","48.3%","33.3%","92.6%","71.4%","36.8%","47.4%","13.8%","20.0%","20.0%","60.0%","20.0%","70.0%","10.0%","52.6%","78.5","25.8","0.0%","95.6","10.0%","11.5%","25.3%","13325"
"Michael Hermosillo","CHC","26","36","5","3","7","0",".194","2.6%","31.6%","20.8%","20.8%","58.3%","14.3%","0.0%","0.0%","2.0","31.6%","76.7%","53.7%","50.0%","71.4%","65.0%","49.0%","76.3%","18.8%","58.3%","12.5%","29.2%","16.7%","41.7%","41.7%","42.1%","89.3","30.4","20.8%","108.8","33.3%","15.4%","34.2%","16285"
"Tommy La Stella","SFG","32","220","26","7","27","0",".250","7.4%","10.7%","20.6%","43.3%","36.1%","2.9%","1.2%","0.0%","2.1","24.9%","55.9%","39.3%","84.1%","91.8%","89.2%","46.3%","57.0%","4.3%","42.1%","40.5%","17.4%","11.8%","59.5%","28.7%","21.1%","88.9","13.5","6.1%","106.8","33.0%","24.0%","28.2%","12371"
"Chad Pinder","OAK","29","214","30","6","27","1",".243","6.9%","26.6%","20.9%","48.4%","30.7%","8.5%","6.8%","0.0%","4.2","29.6%","74.0%","49.0%","62.9%","80.9%","74.8%","43.7%","59.2%","12.4%","37.3%","41.8%","20.9%","11.8%","50.3%","37.9%","36.1%","92.6","7.4","16.3%","112.2","54.2%","14.2%","26.6%","15191"
"Gleyber Torres","NYY","24","459","50","9","51","14",".259","9.7%","20.2%","22.3%","41.5%","36.2%","8.5%","6.0%","0.0%","3.5","27.5%","73.3%","46.7%","63.3%","82.8%","76.1%","41.9%","57.4%","11.2%","37.7%","35.2%","27.1%","16.3%","57.9%","25.8%","31.6%","87.1","14.2","7.8%","111.6","35.7%","15.3%","26.4%","16997"
"Anthony Santander","BAL","26","406","54","18","50","1",".241","5.3%","23.1%","22.7%","34.0%","43.4%","11.2%","4.8%","0.0%","2.4","36.7%","72.0%","51.5%","67.9%","84.1%","77.4%","42.0%","59.1%","11.6%","42.9%","33.9%","23.2%","17.4%","46.8%","35.8%","32.4%","90.7","18.0","8.4%","112.8","43.2%","14.3%","26.0%","14551"
"Alex Kirilloff","MIN","23","215","23","8","34","1",".251","6.1%","22.5%","22.0%","48.8%","29.3%","2.1%","2.5%","0.0%","3.0","40.7%","73.9%","54.7%","64.8%","83.1%","75.3%","42.3%","60.2%","13.5%","36.6%","41.5%","22.0%","12.2%","53.0%","34.8%","32.0%","91.0","7.0","12.8%","108.4","43.9%","13.4%","26.9%","20325"
"Andrew Vaughn","CHW","23","417","56","15","48","1",".235","8.7%","21.5%","19.9%","43.9%","36.1%","3.4%","8.5%","0.0%","2.2","32.1%","64.4%","45.3%","61.4%","90.0%","78.0%","41.0%","59.1%","10.0%","34.9%","36.1%","29.0%","13.7%","50.8%","35.5%","33.5%","91.0","9.7","10.9%","115.0","46.4%","18.5%","28.5%","26197"
"Whit Merrifield","KCR","32","664","97","10","74","40",".277","5.6%","14.3%","24.3%","40.7%","35.0%","6.0%","8.7%","20.0%","6.6","32.6%","73.2%","49.8%","75.8%","88.7%","83.8%","42.5%","60.4%","8.1%","35.6%","32.3%","32.1%","12.0%","61.8%","26.2%","21.3%","86.9","14.1","3.5%","107.8","28.6%","15.0%","23.1%","11281"
"Adalberto Mondesi","KCR","25","126","19","6","17","15",".230","4.4%","31.6%","13.9%","43.0%","43.0%","26.5%","2.9%","14.3%","8.6","38.8%","84.6%","58.6%","45.0%","78.3%","65.7%","43.1%","65.4%","20.1%","45.3%","38.4%","16.3%","18.6%","43.0%","38.4%","40.4%","92.3","16.1","12.8%","112.6","44.2%","8.5%","28.5%","13769"
"Eugenio Suarez","CIN","29","505","71","31","79","0",".198","9.8%","29.8%","17.1%","36.3%","46.6%","7.6%","4.9%","0.0%","1.7","27.5%","66.1%","42.7%","50.6%","85.4%","71.9%","39.6%","62.2%","12.0%","47.2%","31.0%","21.8%","15.6%","49.6%","34.8%","44.9%","89.1","18.3","15.0%","111.9","39.8%","17.5%","29.5%","12552"
"Brian Goodwin","CHW","30","235","33","8","29","1",".221","12.2%","21.4%","25.8%","36.5%","37.6%","9.0%","3.1%","0.0%","3.7","26.0%","65.0%","42.1%","63.9%","82.9%","76.0%","41.2%","57.2%","10.1%","50.3%","27.4%","22.3%","13.4%","55.9%","30.7%","36.5%","88.5","16.9","6.1%","108.5","31.8%","17.8%","27.9%","12858"
"Derek Fisher","MIL","27","8","1","0","1","0",".250","0.0%","12.5%","0.0%","71.4%","28.6%","50.0%","0.0%","0.0%","5.1","18.2%","85.7%","56.0%","0.0%","91.7%","78.6%","56.0%","87.5%","12.0%","42.9%","0.0%","57.1%","14.3%","57.1%","28.6%","12.5%","89.4","13.2","0.0%","100.0","14.3%","12.0%","24.0%","16192"
"Rowdy Tellez","- - -","26","297","34","11","36","0",".242","7.1%","20.0%","20.6%","41.2%","38.2%","12.4%","11.5%","0.0%","2.5","35.2%","69.2%","48.5%","66.3%","88.7%","78.8%","39.3%","56.3%","10.3%","36.5%","36.9%","26.6%","15.9%","48.5%","35.6%","30.5%","92.2","13.4","11.6%","114.8","48.1%","16.4%","26.6%","15679"
"Derek Hill","DET","25","139","19","3","14","6",".259","6.7%","28.0%","28.9%","41.1%","30.0%","14.8%","16.2%","42.9%","7.1","33.9%","71.2%","49.3%","57.1%","85.9%","74.3%","41.4%","67.3%","12.7%","41.2%","30.9%","27.8%","18.6%","54.6%","26.8%","36.7%","86.9","9.2","5.2%","106.6","29.9%","14.7%","27.4%","16947"
"Freddy Galvis","- - -","31","356","53","14","40","1",".242","6.9%","19.5%","19.7%","39.1%","41.2%","14.8%","4.6%","40.0%","3.4","35.3%","66.9%","48.3%","74.2%","88.9%","82.6%","40.9%","58.6%","8.4%","45.8%","29.9%","24.3%","22.5%","48.6%","28.9%","29.9%","86.8","14.1","4.9%","109.3","31.6%","16.8%","25.2%","6609"
"Brett Gardner","NYY","37","387","47","10","39","4",".222","13.0%","21.7%","17.8%","45.2%","37.0%","12.0%","6.8%","16.7%","4.9","20.1%","57.2%","37.4%","70.4%","88.9%","83.5%","46.5%","52.7%","6.2%","38.9%","35.2%","25.8%","21.8%","49.3%","28.9%","36.9%","86.7","12.5","3.4%","108.6","32.9%","22.7%","28.9%","9927"
"Justin Upton","LAA","33","318","47","17","41","4",".211","10.8%","29.6%","14.0%","42.5%","43.5%","11.8%","9.9%","0.0%","3.5","27.7%","68.9%","44.9%","56.1%","79.8%","71.3%","41.6%","57.7%","12.9%","45.3%","34.1%","20.6%","16.8%","47.2%","36.0%","45.0%","90.1","15.6","11.6%","116.5","40.9%","16.9%","29.8%","5222"
"Miguel Cabrera","DET","38","472","48","15","75","0",".256","7.6%","22.4%","19.6%","48.2%","32.2%","6.0%","6.3%","0.0%","0.9","33.2%","70.6%","49.4%","62.2%","85.2%","76.4%","43.2%","62.5%","11.6%","33.9%","36.9%","29.2%","11.6%","51.2%","37.2%","32.9%","91.4","10.0","8.3%","112.6","49.0%","15.8%","27.4%","1744"
"Raimel Tapia","COL","27","487","69","6","50","20",".273","7.5%","13.1%","16.2%","67.4%","16.4%","1.4%","7.1%","0.0%","5.5","36.7%","69.7%","51.0%","78.7%","92.7%","87.0%","43.6%","58.9%","6.6%","30.1%","40.0%","29.9%","22.5%","52.8%","24.6%","21.8%","85.7","-4.4","2.1%","109.9","31.5%","16.2%","22.8%","14350"
"Tyler Wade","NYY","26","127","31","0","5","17",".268","11.0%","25.5%","18.3%","58.5%","23.2%","10.5%","16.7%","25.0%","8.1","22.5%","68.2%","42.5%","64.6%","78.8%","74.5%","43.7%","55.2%","10.8%","32.2%","36.7%","31.1%","23.3%","60.0%","16.7%","36.6%","82.2","5.3","1.1%","104.3","13.2%","18.2%","29.1%","15730"
"Jose Iglesias","- - -","31","483","65","9","48","5",".271","4.1%","14.7%","23.5%","42.1%","34.5%","10.6%","8.1%","0.0%","4.4","46.9%","66.5%","55.0%","73.4%","93.1%","83.2%","41.0%","63.0%","9.3%","38.1%","38.9%","23.0%","18.8%","56.5%","24.7%","20.5%","85.4","11.3","3.4%","110.2","28.4%","16.9%","26.2%","10231"
"Christian Walker","ARI","30","401","55","10","46","0",".244","8.5%","23.8%","22.2%","39.1%","38.7%","9.6%","6.9%","0.0%","2.3","32.2%","83.4%","53.7%","59.8%","82.9%","74.9%","42.0%","64.5%","13.5%","42.4%","30.3%","27.3%","14.8%","49.5%","35.7%","34.6%","88.8","15.6","6.4%","111.1","41.1%","11.0%","24.5%","13419"
"Yonathan Daza","COL","27","301","26","2","30","2",".282","6.3%","18.1%","22.0%","53.9%","24.1%","3.4%","10.8%","14.3%","3.4","36.4%","69.6%","50.0%","69.8%","89.6%","81.1%","40.9%","61.0%","9.5%","34.7%","35.1%","30.2%","16.5%","58.5%","25.0%","25.1%","85.2","6.6","2.0%","106.5","27.0%","16.2%","25.7%","15794"
"William Contreras","ATL","23","163","19","8","23","0",".215","10.3%","29.2%","19.3%","48.6%","32.1%","0.0%","5.7%","0.0%","2.3","35.6%","73.3%","51.1%","54.1%","77.1%","67.7%","41.2%","58.4%","16.5%","41.8%","41.8%","16.4%","12.7%","54.5%","32.7%","43.8%","92.5","8.2","10.9%","114.2","44.5%","13.1%","29.7%","20503"
"Gavin Lux","LAD","23","335","49","7","46","4",".242","10.8%","21.8%","21.3%","47.2%","31.5%","8.8%","12.5%","0.0%","5.6","26.3%","72.2%","46.6%","57.5%","88.5%","78.7%","44.1%","57.2%","9.9%","41.3%","35.0%","23.6%","12.6%","57.1%","30.3%","34.4%","89.8","11.3","3.9%","109.7","40.2%","16.3%","26.2%","19955"
"Pablo Reyes","MIL","27","78","12","1","3","4",".256","10.3%","17.2%","22.2%","36.5%","41.3%","19.2%","13.0%","0.0%","5.7","27.0%","60.7%","40.7%","71.9%","90.9%","83.4%","40.7%","59.8%","6.7%","46.0%","31.7%","22.2%","23.8%","46.0%","30.2%","28.7%","87.1","15.0","3.2%","107.5","36.5%","20.8%","27.5%","16357"
"Abraham Toro","- - -","24","335","45","11","46","6",".239","8.3%","14.4%","14.8%","41.7%","43.5%","7.3%","15.3%","0.0%","3.6","33.7%","66.8%","47.9%","76.0%","90.0%","84.4%","43.1%","60.3%","7.5%","33.9%","38.5%","27.6%","17.3%","52.7%","30.0%","25.6%","86.8","13.7","7.4%","109.0","33.6%","17.6%","25.0%","19844"
"Aristides Aquino","CIN","27","174","25","10","23","2",".190","13.2%","36.8%","17.8%","28.7%","53.5%","18.5%","6.9%","0.0%","4.2","29.7%","68.7%","45.1%","43.0%","76.3%","63.1%","39.5%","59.8%","16.6%","49.5%","28.7%","21.8%","24.8%","38.6%","36.6%","54.9%","89.0","22.9","14.9%","113.5","39.6%","15.6%","32.2%","15482"
"Jo Adell","LAA","22","130","17","4","26","2",".246","5.7%","22.9%","20.4%","46.9%","32.7%","15.6%","4.3%","0.0%","5.9","40.0%","75.0%","54.0%","63.2%","79.5%","72.3%","40.1%","67.1%","14.9%","46.5%","36.4%","17.2%","19.2%","48.5%","32.3%","31.4%","86.2","10.1","9.1%","113.4","31.3%","13.4%","28.3%","20220"
"Albert Pujols","- - -","41","275","29","17","50","2",".236","4.7%","15.2%","15.9%","46.1%","37.9%","9.1%","2.8%","0.0%","2.4","35.6%","63.6%","47.1%","63.0%","93.2%","79.8%","41.1%","54.1%","9.5%","50.4%","23.7%","25.9%","17.2%","44.8%","37.9%","25.7%","90.3","12.0","9.1%","112.9","39.2%","18.7%","28.2%","1177"
"Harold Ramirez","CLE","26","339","33","7","41","3",".268","3.9%","15.5%","17.1%","53.1%","29.7%","10.6%","9.9%","0.0%","3.3","45.2%","69.9%","55.2%","68.3%","88.1%","78.4%","40.4%","64.8%","11.9%","30.1%","43.4%","26.6%","17.1%","47.6%","35.3%","21.3%","91.3","6.2","6.3%","114.8","46.9%","15.9%","27.8%","14387"
"Josh Naylor","CLE","24","233","28","7","21","1",".253","5.6%","18.0%","18.6%","49.5%","31.9%","11.7%","7.5%","0.0%","2.7","40.0%","70.6%","52.5%","72.9%","88.1%","81.3%","40.8%","62.4%","9.8%","41.0%","33.0%","26.1%","15.4%","56.4%","28.2%","26.4%","89.8","9.0","7.4%","114.7","41.8%","14.8%","24.6%","18839"
"Cesar Hernandez","- - -","31","570","84","21","62","1",".232","9.3%","21.2%","18.1%","46.7%","35.1%","5.3%","8.5%","75.0%","3.1","29.0%","68.9%","46.3%","64.6%","88.7%","80.1%","43.4%","61.2%","9.2%","40.0%","37.0%","23.1%","16.2%","55.7%","28.1%","33.8%","87.4","10.7","6.8%","110.2","33.1%","16.1%","25.3%","10556"
"Yoshi Tsutsugo","- - -","29","230","27","8","32","0",".217","11.1%","27.5%","14.5%","40.9%","44.7%","5.6%","4.6%","0.0%","2.5","28.2%","67.7%","45.2%","64.0%","80.8%","74.8%","43.1%","59.2%","11.4%","35.6%","33.1%","31.3%","13.8%","49.4%","36.9%","41.6%","89.6","17.1","6.9%","111.1","37.5%","17.4%","28.8%","27459"
"Ke'Bryan Hayes","PIT","24","362","49","6","38","9",".257","7.8%","22.0%","18.1%","56.7%","25.3%","2.9%","8.3%","0.0%","5.6","29.7%","62.5%","43.5%","63.3%","91.8%","80.5%","42.0%","62.1%","8.5%","24.2%","43.7%","32.1%","18.8%","45.5%","35.7%","31.3%","90.2","2.6","5.1%","111.0","45.1%","19.8%","28.3%","18577"
"Willie Calhoun","TEX","26","260","26","6","25","0",".250","7.4%","12.0%","20.7%","40.1%","39.2%","13.5%","5.5%","0.0%","3.3","29.3%","65.6%","44.3%","78.9%","89.9%","85.7%","41.5%","60.2%","6.4%","36.1%","42.7%","21.1%","13.2%","52.4%","34.4%","21.5%","90.2","14.9","3.5%","110.6","41.4%","18.0%","24.4%","17838"
"Manuel Margot","TBR","26","421","55","10","57","13",".254","8.0%","15.1%","18.2%","46.3%","35.5%","12.8%","8.6%","25.0%","5.2","33.6%","73.3%","50.3%","71.0%","89.8%","82.5%","42.2%","61.9%","8.8%","37.1%","41.0%","21.9%","17.1%","53.1%","29.8%","25.2%","87.9","10.7","5.1%","109.6","40.2%","15.0%","23.8%","14712"
"Tommy Edman","STL","26","641","91","11","56","30",".262","5.5%","13.7%","21.8%","46.0%","32.2%","6.3%","8.0%","16.7%","6.3","31.2%","67.6%","47.3%","76.0%","92.6%","86.5%","44.3%","56.7%","6.4%","44.2%","32.2%","23.6%","15.9%","54.9%","29.2%","20.8%","87.6","9.5","4.3%","112.9","35.3%","18.3%","24.7%","19470"
"Edward Olivares","KCR","25","101","14","5","12","2",".238","4.5%","17.1%","16.9%","47.0%","36.1%","3.3%","12.8%","0.0%","3.7","31.8%","66.1%","44.8%","62.6%","91.3%","78.6%","37.8%","57.7%","9.6%","50.0%","32.1%","17.9%","23.8%","44.0%","32.1%","26.1%","87.3","7.9","6.0%","109.1","31.0%","17.0%","26.5%","19698"
"Brent Rooker","MIN","26","189","25","9","16","0",".201","7.0%","32.9%","25.2%","36.1%","38.7%","2.2%","9.3%","0.0%","1.8","32.9%","70.0%","47.8%","58.1%","75.1%","68.1%","40.2%","62.9%","15.2%","43.7%","31.1%","25.2%","15.1%","47.9%","37.0%","44.1%","91.0","13.1","12.6%","111.7","48.7%","16.0%","31.2%","19627"
"Jeff McNeil","NYM","29","386","48","7","35","3",".251","6.8%","13.6%","20.4%","46.6%","32.9%","10.2%","9.8%","100.0%","3.9","33.5%","85.2%","56.1%","72.0%","90.9%","84.6%","43.7%","60.6%","8.7%","35.0%","36.5%","28.6%","17.0%","54.1%","28.9%","22.1%","88.1","12.0","4.3%","108.3","33.4%","9.0%","17.7%","15362"
"Zack Collins","CHW","26","195","25","4","26","1",".210","14.7%","29.9%","25.6%","28.8%","45.6%","10.5%","8.3%","0.0%","2.2","23.1%","69.7%","43.6%","59.0%","80.2%","73.9%","43.9%","61.0%","11.4%","41.7%","33.1%","25.2%","18.1%","44.9%","37.0%","46.3%","91.1","20.9","10.2%","109.9","44.1%","16.5%","27.8%","19181"
"Trevor Larnach","MIN","24","260","29","7","28","1",".223","10.3%","34.6%","18.4%","46.2%","35.4%","7.1%","2.7%","0.0%","2.3","27.8%","66.9%","43.8%","38.2%","77.7%","62.9%","41.0%","55.8%","16.3%","43.0%","30.4%","26.6%","12.7%","53.8%","33.5%","47.2%","90.0","13.1","9.5%","116.0","40.5%","18.1%","34.4%","21501"
"Tucker Barnhart","CIN","30","348","41","7","48","0",".247","7.5%","25.8%","25.0%","39.5%","35.5%","6.8%","2.0%","66.7%","1.5","32.0%","75.1%","50.3%","63.3%","83.9%","76.4%","42.4%","61.6%","11.9%","42.6%","32.3%","25.1%","13.1%","53.4%","33.5%","35.1%","87.1","15.5","4.0%","106.7","30.7%","13.1%","24.9%","10200"
"Yohel Pozo","TEX","24","74","8","1","9","0",".284","3.9%","13.0%","26.6%","35.9%","37.5%","16.7%","4.3%","0.0%","1.4","50.4%","80.8%","63.4%","73.1%","92.5%","83.7%","42.7%","71.4%","10.3%","40.6%","37.5%","21.9%","15.6%","54.7%","29.7%","18.2%","87.7","14.6","3.1%","107.9","37.5%","11.6%","22.0%","18848"
"Randal Grichuk","TOR","29","511","59","22","81","0",".241","5.0%","20.9%","17.0%","39.7%","43.4%","17.2%","8.8%","0.0%","2.3","35.7%","74.8%","52.2%","61.7%","90.5%","79.2%","42.3%","61.5%","10.9%","39.2%","35.2%","25.7%","16.7%","49.6%","33.7%","29.9%","89.8","16.1","8.5%","113.8","41.1%","14.0%","24.9%","10243"
"Mitch Moreland","OAK","35","229","28","10","30","0",".227","7.1%","23.0%","17.8%","44.8%","37.4%","10.8%","2.6%","0.0%","2.4","29.0%","72.9%","47.7%","50.0%","83.3%","71.7%","42.6%","56.7%","13.5%","43.1%","33.9%","23.0%","10.3%","56.9%","32.8%","34.1%","91.0","12.9","9.2%","112.2","47.7%","15.1%","28.6%","3086"
"Bradley Zimmer","CLE","28","299","44","8","35","15",".227","8.6%","35.1%","22.2%","48.0%","29.8%","2.0%","14.6%","30.0%","6.4","27.4%","67.3%","43.9%","44.8%","78.3%","66.1%","41.4%","62.6%","14.9%","40.3%","33.1%","26.5%","14.9%","50.8%","34.3%","46.0%","90.7","7.0","9.4%","113.9","42.5%","17.4%","32.3%","16221"
"Pedro Severino","BAL","27","379","32","11","46","0",".248","8.1%","26.0%","23.6%","39.3%","37.1%","17.6%","8.3%","0.0%","0.6","31.2%","70.8%","47.9%","52.9%","84.8%","72.7%","42.1%","62.1%","13.0%","45.8%","29.8%","24.4%","22.2%","46.5%","31.3%","36.8%","88.2","15.2","7.6%","114.6","38.2%","16.2%","29.3%","14523"
"Nick Solak","TEX","26","458","57","11","49","7",".242","6.7%","20.9%","17.1%","53.3%","29.6%","9.6%","10.7%","25.0%","4.3","34.2%","62.9%","45.8%","68.9%","84.3%","77.5%","40.5%","61.3%","10.3%","37.7%","36.9%","25.4%","18.6%","52.1%","29.3%","29.7%","86.9","7.0","6.5%","110.6","33.2%","18.9%","29.3%","19294"
"Victor Reyes","DET","26","209","26","5","22","5",".258","3.6%","25.0%","23.0%","49.3%","27.6%","2.4%","4.0%","20.0%","7.1","43.7%","69.1%","54.3%","71.0%","82.5%","77.1%","41.8%","66.8%","12.4%","36.3%","34.4%","29.3%","9.6%","60.5%","29.9%","30.9%","89.5","6.6","8.3%","109.8","34.4%","16.3%","28.8%","15487"
"Cavan Biggio","TOR","26","250","27","7","27","3",".224","12.6%","26.5%","22.3%","37.7%","40.0%","5.7%","1.5%","50.0%","3.7","22.2%","64.9%","41.3%","50.7%","87.5%","76.6%","44.8%","57.8%","9.7%","35.0%","35.6%","29.4%","10.7%","58.8%","30.5%","41.5%","88.9","15.4","5.6%","109.6","31.5%","20.2%","29.9%","19252"
"Jake Lamb","- - -","30","144","25","7","19","0",".194","12.9%","30.0%","18.1%","39.4%","42.6%","17.5%","13.5%","0.0%","2.1","27.4%","66.9%","44.4%","60.7%","87.8%","78.2%","42.9%","62.4%","9.7%","52.6%","28.4%","18.9%","16.8%","47.4%","35.8%","47.1%","90.6","18.3","11.6%","109.7","44.2%","17.7%","27.4%","13329"
"Phil Gosselin","LAA","32","345","40","7","47","4",".261","6.4%","21.7%","17.6%","45.0%","37.4%","8.2%","11.0%","33.3%","3.0","33.3%","61.9%","45.2%","70.0%","88.3%","80.4%","41.5%","64.1%","8.8%","31.3%","41.9%","26.8%","16.6%","55.1%","28.3%","30.0%","87.6","11.5","3.4%","110.0","35.1%","21.5%","30.4%","10953"
"Asdrubal Cabrera","- - -","35","309","34","7","42","1",".230","10.2%","22.7%","21.2%","41.1%","37.7%","12.6%","4.2%","100.0%","2.2","33.3%","67.4%","48.2%","61.1%","86.8%","76.7%","43.6%","64.2%","11.2%","48.1%","32.6%","19.3%","15.0%","52.4%","32.6%","34.9%","87.8","14.5","6.0%","106.6","30.9%","16.4%","27.6%","4962"
"Kevin Pillar","NYM","32","325","40","15","47","4",".231","3.2%","23.3%","18.8%","35.1%","46.1%","15.0%","8.1%","0.0%","4.7","39.5%","71.3%","52.4%","62.5%","87.9%","76.5%","40.4%","57.1%","12.3%","44.5%","32.7%","22.9%","22.0%","46.1%","31.8%","30.8%","85.8","20.2","7.3%","110.5","31.8%","14.1%","26.5%","12434"
"Hanser Alberto","KCR","28","241","25","2","24","3",".270","1.6%","10.2%","22.5%","37.8%","39.7%","7.2%","6.3%","25.0%","5.4","48.7%","84.0%","63.2%","77.4%","92.0%","85.4%","41.1%","67.8%","9.2%","45.2%","33.9%","20.8%","13.6%","55.2%","31.2%","12.5%","87.1","16.1","4.5%","107.6","29.9%","8.3%","17.5%","11902"
"Brandon Marsh","LAA","23","236","27","2","19","6",".254","7.7%","35.0%","31.3%","43.8%","25.0%","2.8%","1.6%","33.3%","6.5","30.7%","64.2%","45.2%","44.9%","83.6%","68.7%","43.2%","64.2%","14.2%","32.7%","36.7%","30.6%","4.1%","56.5%","39.5%","43.5%","92.1","7.9","10.9%","112.7","51.7%","18.3%","32.4%","20202"
"Rob Refsnyder","MIN","30","139","21","2","12","1",".245","10.8%","25.5%","23.0%","42.0%","35.0%","2.9%","4.8%","0.0%","3.5","22.1%","65.5%","39.9%","57.5%","84.4%","75.7%","41.1%","63.1%","9.7%","42.0%","36.0%","22.0%","16.0%","50.0%","34.0%","37.6%","89.2","9.3","7.0%","111.0","41.0%","20.3%","30.0%","13770"
"Jordy Mercer","WSN","34","118","13","2","9","0",".254","7.1%","26.8%","27.4%","39.3%","33.3%","7.1%","15.2%","0.0%","1.4","28.1%","60.9%","42.6%","56.5%","92.4%","79.1%","44.1%","54.3%","8.9%","46.4%","29.8%","23.8%","19.0%","45.2%","35.7%","35.4%","86.7","13.2","3.6%","106.4","33.3%","21.5%","30.4%","6547"
