"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Buster Posey","SFG","34","395","68","18","56","0",".304","12.3%","19.2%","25.2%","46.5%","28.4%","2.3%","4.9%","0.0%","1.5","27.2%","68.7%","44.5%","69.5%","82.5%","77.9%","41.7%","56.4%","9.8%","34.8%","41.9%","23.2%","15.2%","54.2%","30.6%","35.5%","88.5","8.7","8.1%","109.2","39.0%","16.7%","26.6%","9166"
"Max Muncy","LAD","30","497","95","36","94","2",".249","14.0%","20.3%","20.6%","38.1%","41.3%","7.7%","3.5%","0.0%","3.6","19.1%","62.2%","37.6%","58.5%","86.0%","78.0%","42.9%","53.7%","8.3%","43.9%","34.4%","21.7%","12.7%","47.9%","39.4%","40.4%","91.2","15.2","16.1%","112.3","46.3%","20.0%","28.3%","13301"
"Matt Olson","OAK","27","565","101","39","111","4",".271","13.1%","16.8%","16.5%","39.8%","43.7%","12.4%","4.3%","0.0%","2.8","28.3%","73.8%","46.9%","68.5%","84.1%","78.6%","40.9%","53.9%","10.1%","40.4%","34.6%","25.1%","19.4%","44.3%","36.3%","35.7%","91.6","16.2","12.7%","115.3","48.4%","13.4%","23.5%","14344"
"Brandon Crawford","SFG","34","483","79","24","90","11",".298","10.2%","19.1%","18.8%","39.8%","41.4%","10.1%","5.3%","100.0%","5.1","32.1%","79.5%","51.6%","55.8%","82.1%","72.5%","41.2%","60.8%","14.2%","36.8%","37.1%","26.1%","15.4%","53.0%","31.6%","33.7%","88.8","14.7","11.5%","109.8","43.1%","11.4%","25.6%","5343"
"Connor Wong","BOS","25","13","3","0","1","0",".308","7.1%","50.0%","33.3%","16.7%","50.0%","0.0%","0.0%","0.0%","5.1","32.4%","56.0%","41.9%","50.0%","57.1%","53.8%","40.3%","64.3%","19.4%","16.7%","16.7%","66.7%","16.7%","33.3%","50.0%","57.1%","89.1","7.6","16.7%","103.5","50.0%","19.4%","38.7%","19896"
"Dylan Cease","CHW","25","8","1","0","0","0",".375","0.0%","37.5%","20.0%","40.0%","40.0%","0.0%","50.0%","0.0%","1.6","45.5%","88.9%","65.0%","40.0%","62.5%","53.8%","45.0%","75.0%","30.0%","20.0%","20.0%","60.0%","0.0%","40.0%","60.0%","37.5%","91.7","5.1","0.0%","98.0","40.0%","10.0%","40.0%","18525"
"Greg Allen","NYY","28","37","9","0","2","5",".270","10.4%","27.1%","25.0%","20.8%","54.2%","15.4%","0.0%","0.0%","10.0","23.9%","53.1%","36.3%","69.2%","93.0%","84.1%","42.6%","64.6%","5.8%","44.0%","40.0%","16.0%","12.0%","56.0%","32.0%","37.5%","86.3","23.4","8.0%","105.9","24.0%","26.3%","32.1%","16623"
"A.J. Pollock","LAD","33","384","53","21","69","9",".297","7.1%","19.0%","21.6%","39.9%","38.6%","5.1%","13.9%","0.0%","4.4","37.6%","73.9%","52.8%","61.4%","88.1%","77.0%","41.8%","63.5%","12.2%","44.4%","33.7%","21.9%","13.7%","48.7%","37.6%","31.0%","90.3","12.0","11.1%","111.2","47.1%","13.4%","25.6%","9256"
"Paul Goldschmidt","STL","33","603","102","31","99","12",".294","9.9%","20.0%","23.5%","36.2%","40.3%","10.0%","5.8%","0.0%","5.0","28.1%","66.1%","44.2%","71.6%","81.1%","77.6%","42.3%","57.1%","9.9%","39.0%","37.3%","23.7%","12.1%","46.6%","41.3%","34.5%","92.6","17.1","13.6%","112.2","50.2%","18.6%","28.5%","9218"
"Patrick Kivlehan","SDP","31","4","3","0","2","0",".250","25.0%","37.5%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","2.6","23.3%","62.5%","37.0%","42.9%","60.0%","52.9%","34.8%","62.5%","17.4%","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","62.5%","101.7","15.1","0.0%","107.4","100.0%","13.0%","30.4%","13910"
