"Name","Team","Age","W","SO","ERA","WHIP","K/9","BB/9","H/9","HR/9","BABIP","LOB%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Start-IP","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","HardHit%","maxEV","CStr%","CSW%","IP","playerid"
"Robbie Ray","ARI","25","15","218","2.89","1.15","12.11","3.94","6.44","1.28",".267","84.5%","19.5%","40.3%","40.3%","8.2%","4.1%","16.7%","162.0","59.3%","94.3","18.0%","85.1","","","21.9%","82.0","0.8%","85.0","","","","","0.4%","","29.7%","63.0%","44.2%","46.1%","81.0%","67.9%","43.8%","59.8%","14.2%","32.8%","10.7%","38.0%","34.5%","27.5%","16.4%","43.1%","40.4%","46.9%","89.9","14.4","5.1%","42.3%","112.7","18.1%","32.3%","162.0","11486"
"Chris Sale","BOS","28","17","308","2.90","0.97","12.93","1.81","6.93","1.01",".301","78.4%","20.4%","38.7%","40.9%","10.6%","8.5%","16.7%","214.1","49.2%","94.4","32.9%","79.7","","","","","17.9%","86.6","","","","","","","36.2%","65.6%","49.9%","55.7%","79.2%","70.1%","46.7%","66.7%","14.9%","36.2%","5.1%","38.4%","35.2%","26.4%","18.5%","51.8%","29.7%","44.1%","86.8","15.0","5.5%","30.3%","112.7","18.3%","33.2%","214.1","10603"
"Dallas Keuchel","HOU","29","14","125","2.90","1.12","7.72","2.90","7.17","0.93",".256","79.9%","15.5%","66.8%","17.7%","2.8%","8.6%","12.5%","145.2","58.0%","88.7","18.8%","78.5","10.2%","86.7","","","13.0%","78.6","","","","","","","32.6%","66.1%","45.0%","63.6%","86.0%","75.8%","37.0%","60.4%","10.9%","21.4%","8.0%","45.0%","35.2%","19.8%","25.4%","49.9%","24.7%","32.0%","85.5","-0.6","4.9%","32.2%","114.6","16.5%","27.4%","145.2","9434"
"Gio Gonzalez","WSN","31","15","188","2.96","1.18","8.42","3.54","7.07","0.94",".258","81.5%","19.1%","45.8%","35.1%","9.0%","5.3%","21.4%","201.0","56.6%","89.9","","","","","24.7%","74.8","18.6%","83.1","","","","","0.4%","","28.1%","61.2%","41.8%","68.4%","85.9%","79.0%","41.4%","55.3%","8.8%","22.7%","9.6%","42.7%","32.9%","24.4%","21.7%","49.0%","29.3%","34.8%","86.1","11.7","4.3%","27.8%","117.3","17.8%","26.6%","201.0","7448"
"Noah Syndergaard","NYM","24","1","34","2.97","1.05","10.09","0.89","8.60","0.00",".337","57.6%","18.8%","57.6%","23.5%","0.0%","8.2%","0.0%","30.1","51.1%","98.3","19.9%","92.5","","","10.5%","84.4","18.6%","90.2","","","","","1.1%","","35.2%","65.3%","49.8%","39.8%","90.3%","71.9%","48.5%","57.3%","13.9%","27.4%","2.4%","38.4%","41.9%","19.8%","16.3%","53.5%","30.2%","29.8%","86.7","2.5","3.5%","31.4%","109.2","17.0%","30.9%","30.1","11762"
"James Paxton","SEA","28","12","156","2.98","1.10","10.32","2.45","7.48","0.60",".300","75.5%","22.4%","44.9%","32.7%","13.0%","4.4%","0.0%","136.0","65.5%","95.4","","","10.4%","88.8","21.3%","80.4","2.8%","86.5","","","","","0.1%","","29.8%","67.0%","48.1%","55.4%","82.5%","74.0%","49.3%","64.9%","12.5%","28.3%","6.7%","38.2%","30.1%","31.7%","18.0%","51.7%","30.3%","36.6%","87.2","12.3","2.5%","31.5%","112.2","17.0%","29.5%","136.0","11828"
"Luis Severino","NYY","23","14","230","2.98","1.04","10.71","2.37","6.98","0.98",".272","75.5%","18.8%","50.6%","30.6%","12.0%","7.7%","0.0%","193.1","51.4%","97.6","35.1%","88.4","","","","","13.5%","87.3","","","","","","","31.3%","67.2%","49.0%","55.2%","82.3%","73.5%","49.3%","65.1%","13.0%","29.4%","6.5%","40.8%","36.4%","22.8%","19.4%","52.1%","28.5%","38.6%","87.2","8.0","6.0%","33.3%","111.4","17.4%","30.4%","193.1","15890"
"Chris Stratton","SFG","26","4","44","2.98","1.44","7.71","4.38","8.59","0.88",".299","83.8%","28.9%","40.9%","30.2%","6.7%","6.6%","33.3%","51.1","61.8%","91.5","11.6%","84.1","","","18.0%","77.6","8.6%","84.3","","","","","","","28.7%","63.7%","44.4%","62.5%","90.0%","80.2%","44.9%","59.9%","8.8%","19.8%","11.3%","38.8%","32.9%","28.3%","19.7%","50.7%","29.6%","33.3%","86.3","11.6","3.9%","28.9%","108.8","17.4%","26.2%","51.1","13761"
"Kyle Hendricks","CHC","27","7","123","3.03","1.19","7.93","2.58","8.12","1.10",".281","82.5%","20.8%","50.1%","29.1%","9.6%","9.1%","30.0%","139.2","64.1%","85.8","","","","","7.9%","72.2","28.0%","78.8","","","","","0.1%","","31.7%","57.1%","42.3%","72.4%","86.6%","80.4%","41.8%","63.2%","8.3%","21.6%","7.0%","42.0%","33.8%","24.2%","22.5%","47.2%","30.4%","31.6%","85.0","8.6","4.2%","29.1%","119.0","21.0%","29.3%","139.2","12049"
"Marcus Stroman","TOR","26","13","164","3.09","1.31","7.34","2.78","9.00","0.94",".310","78.0%","18.2%","62.1%","19.7%","4.2%","3.0%","33.3%","201.0","62.1%","93.3","23.5%","86.7","2.4%","90.5","6.1%","82.6","6.0%","82.6","","","","","0.1%","","28.6%","65.0%","44.6%","57.1%","89.1%","77.6%","43.9%","58.6%","10.0%","19.7%","7.4%","35.0%","38.0%","26.9%","20.4%","48.2%","31.4%","29.6%","88.7","0.5","4.8%","38.2%","118.3","18.3%","28.3%","201.0","13431"
"Luis Castillo","CIN","24","3","98","3.12","1.07","9.87","3.22","6.45","1.11",".247","80.1%","12.2%","58.8%","29.0%","7.8%","3.8%","20.0%","89.1","62.4%","97.5","15.0%","84.8","","","","","22.7%","87.3","","","","","0.3%","","28.3%","69.9%","47.5%","55.8%","81.6%","73.3%","46.1%","57.1%","12.7%","27.3%","8.9%","40.7%","30.5%","28.8%","22.1%","48.2%","29.6%","39.3%","85.9","6.4","3.5%","30.1%","112.4","15.5%","28.2%","89.1","15689"
"Daniel Mengden","OAK","24","3","29","3.14","1.05","6.07","1.88","7.53","1.26",".240","79.2%","19.2%","39.2%","41.5%","9.3%","2.0%","0.0%","43.0","55.7%","92.1","","","16.6%","84.1","14.5%","72.5","13.2%","80.8","","","","","","","26.5%","63.9%","43.7%","59.1%","89.5%","79.6%","46.0%","58.0%","8.9%","17.2%","5.3%","35.9%","38.2%","26.0%","18.3%","56.5%","25.2%","26.0%","88.9","13.5","4.6%","38.2%","109.6","18.3%","27.2%","43.0","16980"
"Andrew Albers","SEA","31","4","25","3.16","1.31","7.18","2.01","9.77","1.15",".300","68.7%","27.2%","34.0%","38.8%","10.0%","11.4%","0.0%","31.1","64.4%","87.8","20.0%","78.2","","","7.4%","69.2","8.1%","79.0","","","","","","","38.0%","69.3%","53.2%","79.6%","90.4%","86.4%","48.7%","67.9%","7.2%","18.2%","5.1%","35.9%","29.1%","35.0%","20.4%","49.5%","30.1%","26.3%","87.6","16.2","3.8%","27.9%","109.3","17.5%","24.7%","31.1","7853"
"Zack Greinke","ARI","33","17","215","3.20","1.07","9.56","2.00","7.65","1.11",".285","75.3%","18.0%","46.8%","35.2%","9.6%","6.8%","0.0%","202.1","48.2%","91.0","22.6%","84.2","","","13.3%","74.1","15.8%","87.4","","","","","","","34.4%","62.7%","45.9%","57.7%","85.1%","72.9%","40.6%","62.4%","12.4%","26.8%","5.6%","41.4%","36.6%","22.0%","19.2%","45.7%","35.1%","35.6%","87.3","10.0","5.5%","31.6%","114.8","18.3%","30.8%","202.1","1943"
"Paul Blackburn","OAK","23","3","22","3.22","1.26","3.37","2.45","8.90","0.77",".273","77.9%","18.8%","56.3%","24.9%","4.1%","1.8%","50.0%","58.2","55.4%","90.2","26.0%","84.5","","","9.3%","75.7","9.3%","83.3","","","","","","","25.8%","68.2%","42.6%","78.8%","90.9%","86.5%","39.6%","47.9%","5.8%","9.2%","6.7%","39.2%","38.7%","22.1%","18.1%","55.8%","26.1%","18.1%","87.1","4.5","2.5%","35.7%","112.1","15.9%","21.7%","58.2","14739"
"Brad Peacock","HOU","29","10","135","3.22","1.22","10.88","3.71","7.25","0.73",".298","76.6%","19.7%","43.7%","36.6%","10.8%","9.8%","0.0%","111.2","50.3%","92.0","38.8%","81.6","","","6.7%","77.3","4.3%","81.0","","","","","0.1%","","29.6%","61.0%","43.7%","59.4%","82.2%","73.7%","44.9%","64.4%","11.5%","29.1%","9.9%","43.1%","33.5%","23.5%","24.6%","49.5%","26.0%","40.9%","85.5","12.5","4.3%","26.7%","112.6","20.5%","32.0%","111.2","5401"
"Jake Thompson","PHI","23","3","32","3.27","1.50","6.97","3.92","9.58","1.74",".295","80.6%","15.5%","48.1%","36.4%","6.4%","6.5%","0.0%","41.1","50.9%","91.4","19.7%","83.5","9.0%","89.9","3.5%","80.2","16.9%","85.9","","","","","","","22.0%","66.5%","42.4%","62.4%","91.3%","83.2%","45.9%","54.6%","7.1%","17.3%","9.7%","47.7%","28.5%","23.8%","16.2%","53.8%","30.0%","31.4%","87.4","12.4","6.9%","34.6%","115.7","17.8%","24.9%","41.1","14371"
"Ervin Santana","MIN","34","16","167","3.28","1.13","7.11","2.60","7.54","1.32",".245","79.5%","16.3%","41.2%","42.5%","12.2%","3.9%","25.0%","211.1","52.5%","92.9","36.5%","84.5","","","","","11.0%","85.9","","","","","0.2%","","32.4%","69.4%","48.2%","64.5%","88.0%","79.0%","42.7%","64.1%","10.1%","19.3%","7.1%","46.4%","32.4%","21.2%","22.3%","49.8%","27.9%","30.0%","86.0","15.9","5.6%","30.1%","110.9","14.9%","25.1%","211.1","3200"
"Carlos Carrasco","CLE","30","18","226","3.29","1.10","10.17","2.07","7.79","0.95",".307","78.2%","21.7%","45.2%","33.1%","10.1%","3.9%","20.0%","200.0","48.4%","94.3","19.8%","85.5","","","15.3%","82.9","16.5%","88.6","","","","","0.2%","","31.0%","68.8%","48.8%","48.3%","84.8%","72.5%","47.0%","63.0%","13.4%","28.3%","5.8%","37.6%","38.0%","24.4%","19.4%","51.4%","29.3%","36.7%","87.4","9.6","6.6%","34.3%","115.6","16.9%","30.3%","200.0","6632"
"Drew Pomeranz","BOS","28","17","174","3.32","1.35","9.02","3.58","8.60","0.98",".310","80.0%","21.9%","43.2%","34.9%","10.7%","11.5%","25.0%","173.2","55.0%","91.3","","","6.5%","86.7","37.0%","79.4","1.5%","81.1","","","","","","","28.7%","64.8%","44.3%","64.1%","85.4%","77.6%","43.2%","60.3%","9.9%","23.5%","9.3%","41.5%","32.1%","26.4%","20.3%","47.2%","32.5%","35.4%","87.9","12.9","6.3%","35.3%","114.4","17.9%","27.8%","173.2","11426"
"Rich Hill","LAD","37","12","166","3.32","1.09","11.01","3.25","6.57","1.19",".261","80.4%","17.2%","36.9%","45.9%","10.4%","7.8%","21.4%","135.2","54.3%","89.0","4.4%","75.8","3.6%","85.1","37.5%","73.8","0.2%","83.4","","","","","0.2%","","29.2%","60.7%","44.9%","59.9%","81.5%","74.5%","50.0%","62.1%","11.5%","30.1%","8.9%","39.0%","36.9%","24.1%","20.7%","49.1%","30.2%","42.2%","86.0","17.6","7.0%","29.0%","109.5","21.4%","32.9%","135.2","4806"
"Madison Bumgarner","SFG","27","4","101","3.32","1.09","8.19","1.62","8.19","1.38",".272","82.8%","18.1%","40.8%","41.1%","11.4%","8.4%","20.0%","111.0","43.2%","91.0","35.5%","86.7","","","15.7%","78.1","5.5%","82.9","","","","","0.7%","","34.5%","70.1%","50.7%","68.7%","86.3%","79.8%","45.6%","66.7%","10.3%","22.4%","4.4%","44.2%","31.9%","23.9%","16.9%","48.2%","35.0%","30.7%","88.6","15.4","7.4%","34.0%","111.3","15.8%","26.1%","111.0","5524"
"Justin Verlander","- - -","34","15","219","3.36","1.17","9.57","3.15","7.43","1.18",".271","79.7%","23.8%","33.5%","42.7%","9.8%","3.8%","50.0%","206.0","58.2%","95.2","21.6%","88.2","0.2%","91.7","15.9%","80.5","4.0%","87.5","","","","","0.4%","","31.9%","70.3%","49.1%","65.3%","85.4%","78.2%","44.8%","61.6%","10.7%","25.8%","8.5%","37.4%","38.1%","24.5%","17.5%","48.0%","34.5%","37.5%","87.6","16.4","6.1%","35.7%","113.6","16.2%","26.9%","206.0","8700"
"Andrew Cashner","TEX","30","11","86","3.40","1.32","4.64","3.46","8.42","0.81",".266","74.0%","19.2%","48.6%","32.2%","9.8%","4.6%","0.0%","166.2","65.3%","93.4","12.2%","88.5","","","8.4%","81.8","14.2%","85.1","","","","","","","25.7%","66.8%","44.6%","74.9%","91.6%","86.4%","45.9%","58.5%","6.1%","12.2%","9.1%","40.7%","33.8%","25.5%","18.5%","53.0%","28.4%","23.4%","87.1","10.6","3.5%","32.3%","117.7","17.1%","23.1%","166.2","8782"
"Zack Godley","ARI","27","8","163","3.40","1.15","9.57","3.11","7.28","0.88",".282","75.2%","18.7%","55.2%","26.2%","7.9%","4.7%","26.7%","153.1","33.0%","91.9","","","24.0%","89.9","35.4%","83.4","7.6%","84.0","","","","","0.3%","","33.0%","61.0%","44.2%","46.9%","88.7%","70.0%","40.1%","60.6%","13.3%","26.2%","8.5%","39.4%","40.6%","20.0%","18.5%","49.1%","32.4%","37.1%","87.9","4.9","6.0%","38.9%","113.5","16.7%","30.0%","153.1","14862"
"Robert Stephenson","CIN","24","5","56","3.41","1.45","8.69","5.59","7.45","0.78",".276","73.1%","22.4%","38.2%","39.5%","6.7%","12.1%","44.4%","58.0","53.8%","93.1","26.7%","85.0","","","3.1%","77.5","16.5%","84.4","","","","","1.0%","","30.8%","66.3%","44.9%","58.9%","80.1%","71.3%","39.8%","55.1%","12.8%","22.0%","14.2%","40.4%","39.1%","20.5%","12.4%","49.7%","37.9%","38.2%","89.5","14.1","7.5%","35.4%","112.1","14.7%","27.5%","58.0","13594"
"Jake Faria","TBR","23","5","79","3.42","1.22","8.71","3.42","7.60","1.10",".274","79.1%","21.1%","39.5%","39.5%","15.9%","8.0%","50.0%","81.2","54.2%","91.8","23.6%","83.3","","","4.6%","75.2","17.7%","81.2","","","","","0.2%","","29.0%","67.8%","46.2%","53.8%","84.5%","73.8%","44.4%","55.9%","12.1%","23.2%","9.1%","38.2%","37.8%","24.0%","19.6%","48.4%","32.0%","35.3%","88.1","17.4","4.9%","37.8%","110.6","15.4%","27.5%","81.2","13699"
"Nathan Karns","KCR","29","2","49","3.43","1.12","9.87","2.22","7.86","1.81",".270","88.8%","12.6%","49.6%","37.8%","2.2%","8.5%","0.0%","44.2","49.0%","92.9","","","","","37.1%","83.8","13.9%","85.9","","","","","0.4%","","31.6%","66.6%","47.1%","52.0%","85.0%","72.6%","44.3%","58.8%","12.9%","26.9%","6.0%","40.8%","35.0%","24.2%","23.3%","45.0%","31.7%","37.9%","88.2","10.6","8.3%","36.7%","116.3","16.6%","29.5%","44.2","12638"
"Lance Lynn","STL","30","11","153","3.43","1.23","7.39","3.77","7.29","1.30",".244","79.0%","19.8%","44.0%","36.2%","11.6%","7.4%","10.0%","186.1","81.0%","91.8","11.7%","87.1","","","4.7%","78.8","2.6%","84.2","","","","","0.6%","","27.2%","69.6%","44.4%","74.7%","82.4%","79.6%","40.5%","54.6%","9.0%","19.7%","10.1%","36.1%","34.2%","29.7%","21.1%","49.7%","29.2%","33.2%","86.6","12.1","5.4%","27.7%","117.6","15.1%","24.2%","186.1","2520"
"Max Fried","ATL","23","1","16","3.44","1.58","7.85","2.95","11.29","0.98",".362","71.9%","20.0%","63.3%","16.7%","10.0%","13.2%","0.0%","18.1","62.3%","92.2","","","","","24.7%","73.9","13.0%","83.7","","","","","","","24.2%","68.7%","44.2%","64.1%","85.6%","79.1%","44.9%","49.4%","9.2%","18.8%","7.1%","36.7%","43.3%","20.0%","20.0%","51.7%","28.3%","28.2%","87.5","0.3","5.0%","38.3%","122.2","16.8%","26.0%","18.1","13743"
