"Name","Team","Age","W","SO","ERA","WHIP","K/9","BB/9","H/9","HR/9","BABIP","LOB%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Start-IP","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","HardHit%","maxEV","CStr%","CSW%","IP","playerid"
"Yusmeiro Petit","LAA","32","0","5","0.00","0.75","11.25","0.00","6.75","0.00",".300","66.7%","20.0%","30.0%","50.0%","40.0%","0.0%","0.0%","4.0","56.3%","89.3","12.5%","86.0","","","16.7%","76.9","14.6%","82.3","","","","","","","32.1%","60.0%","43.8%","66.7%","91.7%","81.0%","41.7%","53.3%","8.3%","33.3%","0.0%","20.0%","40.0%","40.0%","20.0%","40.0%","40.0%","33.3%","86.5","27.6","0.0%","40.0%","100.8","31.3%","39.6%","4.0","4020"
"Matt Grace","WSN","28","0","1","0.00","0.69","2.08","2.08","4.15","0.00",".154","100.0%","18.2%","54.5%","27.3%","0.0%","0.0%","0.0%","4.1","75.0%","90.4","17.3%","82.6","","","","","7.7%","85.5","","","","","","","29.6%","64.0%","46.2%","87.5%","93.8%","91.7%","48.1%","66.7%","3.8%","6.7%","6.7%","30.8%","30.8%","38.5%","7.7%","69.2%","23.1%","13.3%","83.1","3.4","7.7%","23.1%","102.3","13.5%","17.3%","4.1","11449"
"Zach Lee","SDP","25","1","3","0.00","1.13","5.06","6.75","3.38","0.00",".133","100.0%","6.7%","33.3%","60.0%","0.0%","0.0%","0.0%","5.1","61.1%","90.1","26.7%","86.3","","","6.7%","74.5","5.6%","83.0","","","","","","","27.4%","71.4%","41.1%","70.6%","95.0%","83.8%","31.1%","45.5%","6.7%","13.6%","18.2%","20.0%","66.7%","13.3%","6.7%","60.0%","33.3%","31.8%","90.7","22.5","6.7%","40.0%","102.2","13.3%","20.0%","5.1","11468"
"Ross Stripling","LAD","27","0","5","0.00","0.80","9.00","3.60","3.60","0.00",".167","100.0%","16.7%","50.0%","33.3%","25.0%","0.0%","0.0%","5.0","34.7%","93.0","33.3%","89.6","","","26.4%","81.3","5.6%","85.8","","","","","","","28.2%","66.7%","45.8%","81.8%","81.8%","81.8%","45.8%","68.4%","8.3%","26.3%","10.5%","25.0%","33.3%","41.7%","25.0%","41.7%","33.3%","36.8%","86.8","11.1","0.0%","16.7%","105.5","19.4%","27.8%","5.0","13273"
"Tyler Danish","CHW","22","1","6","0.00","1.80","10.80","10.80","5.40","0.00",".273","100.0%","27.3%","36.4%","36.4%","0.0%","0.0%","0.0%","5.0","53.8%","89.7","10.6%","81.3","12.5%","84.2","7.7%","76.8","15.4%","79.1","","","","","","","27.0%","53.7%","37.5%","70.6%","86.4%","79.5%","39.4%","65.2%","7.7%","26.1%","26.1%","27.3%","54.5%","18.2%","9.1%","90.9%","0.0%","52.2%","92.0","13.9","0.0%","45.5%","100.2","21.2%","28.8%","5.0","15126"
"Bud Norris","LAA","32","0","7","1.08","1.08","7.56","3.24","6.48","0.00",".261","88.9%","13.0%","52.2%","34.8%","0.0%","0.0%","0.0%","8.1","41.5%","93.5","23.1%","83.3","35.4%","89.6","","","","","","","","","3.1%","","24.2%","60.9%","42.3%","50.0%","76.9%","69.1%","49.2%","51.5%","13.1%","21.2%","9.1%","34.8%","30.4%","34.8%","13.0%","65.2%","21.7%","30.3%","83.7","7.9","0.0%","17.4%","107.7","19.2%","32.3%","8.1","9492"
"Bryan Mitchell","NYY","26","0","2","1.80","1.60","3.60","3.60","10.80","0.00",".316","75.0%","15.8%","57.9%","26.3%","0.0%","18.2%","0.0%","5.0","37.8%","95.8","","","31.1%","92.1","30.0%","83.1","1.1%","92.0","","","","","","","20.8%","59.5%","38.9%","60.0%","96.0%","85.7%","46.7%","69.6%","5.6%","8.7%","8.7%","21.1%","52.6%","26.3%","15.8%","36.8%","47.4%","17.4%","91.5","1.3","0.0%","42.1%","102.4","22.2%","27.8%","5.0","11479"
"Ryan Merritt","CLE","25","2","7","1.83","1.47","3.20","1.83","11.44","0.00",".338","79.3%","25.7%","54.1%","20.3%","13.3%","5.0%","0.0%","19.2","27.8%","87.0","","","30.1%","84.8","16.1%","72.0","26.1%","81.6","","","","","","","25.0%","61.0%","44.1%","74.3%","91.8%","87.1%","53.2%","74.1%","5.7%","8.2%","4.7%","39.2%","36.5%","24.3%","21.6%","52.7%","25.7%","12.9%","82.9","8.6","0.0%","29.7%","107.7","21.1%","26.8%","19.2","13688"
"Daniel Wright","LAA","26","0","7","1.93","1.29","6.75","2.89","8.68","0.00",".333","69.2%","38.5%","30.8%","30.8%","25.0%","25.0%","0.0%","9.1","50.0%","89.5","13.8%","82.3","","","19.7%","74.8","16.4%","83.4","","","","","0.7%","","25.3%","54.1%","36.8%","56.5%","84.8%","73.2%","40.1%","60.5%","9.8%","18.4%","7.9%","37.0%","44.4%","18.5%","25.9%","51.9%","22.2%","26.3%","82.0","15.8","0.0%","22.2%","102.1","17.6%","27.5%","9.1","15179"
"Corey Kluber","CLE","31","18","265","2.25","0.87","11.71","1.59","6.23","0.93",".267","82.6%","22.1%","44.5%","33.4%","11.5%","6.7%","0.0%","203.2","42.5%","92.6","","","23.7%","89.0","27.4%","84.4","6.5%","85.8","","","","","0.3%","","35.6%","63.7%","49.0%","44.9%","82.4%","68.1%","47.8%","64.4%","15.6%","34.1%","4.6%","38.9%","36.1%","25.1%","24.4%","46.7%","28.9%","41.4%","85.3","10.5","5.3%","29.1%","111.6","19.0%","34.6%","203.2","2429"
"Garrett Richards","LAA","29","0","27","2.28","0.90","8.78","2.28","5.86","0.33",".233","72.0%","16.7%","54.2%","29.2%","9.5%","2.6%","0.0%","27.2","58.3%","95.8","33.3%","89.1","","","8.4%","79.5","","","","","","","","","30.6%","70.3%","47.8%","47.3%","88.5%","73.5%","43.3%","60.2%","12.6%","25.0%","6.5%","35.1%","40.5%","24.3%","24.3%","48.6%","27.0%","32.4%","87.1","5.2","2.7%","28.4%","116.2","16.9%","29.5%","27.2","9784"
"Clayton Kershaw","LAD","29","18","202","2.31","0.95","10.39","1.54","6.99","1.18",".267","87.4%","18.9%","47.9%","33.1%","9.7%","9.0%","12.5%","175.0","47.1%","92.7","34.9%","88.5","","","16.8%","73.3","1.2%","85.9","","","","","","","32.3%","70.6%","51.3%","51.1%","82.4%","72.5%","49.5%","69.4%","14.1%","29.7%","4.4%","43.3%","34.5%","22.2%","23.5%","49.1%","27.4%","37.6%","85.3","10.3","5.6%","26.4%","114.1","16.9%","31.0%","175.0","2036"
"Lucas Giolito","CHW","22","3","34","2.38","0.95","6.75","2.38","6.15","1.59",".189","92.0%","20.2%","45.0%","34.9%","8.9%","3.4%","0.0%","45.1","59.7%","92.1","13.1%","83.6","","","11.1%","78.2","16.2%","81.5","","","","","","","32.6%","70.1%","49.1%","64.1%","88.5%","79.5%","44.2%","62.0%","10.1%","19.0%","6.7%","49.2%","27.7%","23.1%","19.2%","45.4%","35.4%","30.2%","86.9","14.0","3.8%","33.8%","109.3","13.9%","24.0%","45.1","15474"
"Ryan Weber","SEA","26","0","0","2.45","0.82","0.00","0.00","7.36","0.00",".214","66.7%","14.3%","50.0%","35.7%","0.0%","0.0%","0.0%","3.2","65.5%","89.5","","","","","27.3%","76.9","7.3%","81.5","","","","","","","38.5%","44.8%","41.8%","100.0%","92.3%","95.7%","52.7%","85.7%","1.8%","0.0%","0.0%","42.9%","35.7%","21.4%","21.4%","28.6%","50.0%","0.0%","92.1","6.4","7.1%","35.7%","104.4","34.5%","36.4%","3.2","10160"
"Max Scherzer","WSN","32","16","268","2.51","0.90","12.02","2.47","5.65","0.99",".245","80.6%","16.9%","36.5%","46.6%","11.8%","5.6%","12.5%","200.2","48.7%","94.1","28.9%","86.2","","","8.3%","77.4","14.1%","84.7","","","","","0.2%","","35.0%","68.7%","51.2%","51.9%","79.5%","69.7%","48.1%","64.6%","15.5%","34.4%","7.1%","42.4%","33.0%","24.7%","19.5%","54.0%","26.5%","44.2%","86.5","19.1","5.2%","29.1%","112.0","15.9%","31.4%","200.2","3137"
"Stephen Strasburg","WSN","28","15","204","2.52","1.02","10.47","2.41","6.72","0.67",".274","77.9%","19.0%","46.8%","34.2%","11.4%","6.9%","28.6%","175.1","51.9%","95.6","6.8%","90.2","","","22.5%","82.4","18.9%","88.7","","","","","0.7%","","33.4%","65.4%","49.3%","53.0%","84.4%","73.6%","49.6%","63.5%","13.0%","29.1%","6.7%","35.0%","38.1%","26.9%","21.4%","51.2%","27.3%","37.7%","87.3","10.8","5.4%","31.2%","113.5","17.5%","30.5%","175.1","10131"
"Randall Delgado","ARI","27","0","24","2.52","1.20","8.64","1.80","9.00","0.72",".338","80.9%","29.4%","45.6%","25.0%","17.6%","6.5%","0.0%","25.0","58.6%","93.9","17.4%","85.1","","","2.4%","79.0","21.5%","86.5","","","","","","","31.9%","70.2%","48.4%","58.7%","84.8%","75.0%","43.1%","67.7%","12.1%","24.2%","5.1%","40.0%","31.4%","28.6%","30.0%","47.1%","22.9%","31.3%","87.5","9.7","0.0%","35.7%","111.7","13.8%","25.9%","25.0","5985"
"Tyler Mahle","CIN","22","1","14","2.70","1.50","6.30","4.95","8.55","0.00",".302","82.4%","14.8%","52.5%","32.8%","5.0%","6.3%","0.0%","20.0","65.6%","92.9","25.2%","83.9","","","1.9%","75.6","7.3%","83.9","","","","","1.1%","","26.3%","61.5%","41.2%","75.0%","88.5%","83.6%","42.3%","60.9%","6.8%","15.2%","12.0%","28.6%","38.1%","33.3%","22.2%","54.0%","23.8%","27.2%","86.2","8.4","0.0%","22.2%","106.0","19.0%","25.7%","20.0","16358"
"Chase Anderson","MIL","29","12","133","2.74","1.09","8.47","2.61","7.20","0.89",".265","80.6%","18.0%","39.2%","42.9%","9.9%","5.4%","30.0%","141.1","52.7%","93.1","","","12.9%","89.4","18.3%","78.3","16.1%","83.7","","","","","0.0%","","30.3%","66.8%","46.6%","65.8%","85.0%","78.1%","44.7%","61.2%","10.2%","23.4%","7.2%","39.4%","34.5%","26.0%","19.8%","48.5%","31.7%","33.0%","85.5","14.3","3.9%","26.8%","110.4","16.8%","27.0%","141.1","6895"
"Alex Wood","LAD","26","15","147","2.82","1.09","9.00","2.27","7.53","0.92",".277","80.0%","20.6%","52.4%","27.1%","8.3%","4.8%","16.7%","147.0","50.0%","91.8","","","","","24.3%","83.4","25.7%","85.0","","","","","1.1%","","36.2%","63.4%","47.8%","61.4%","86.4%","75.5%","42.7%","66.9%","11.7%","24.7%","6.2%","38.5%","36.3%","25.2%","20.5%","51.1%","28.4%","33.4%","85.6","7.4","4.2%","27.9%","112.5","18.8%","30.5%","147.0","13781"
"Mike Clevinger","CLE","26","11","126","2.84","1.21","9.95","4.26","6.63","0.87",".269","80.4%","23.6%","39.6%","36.8%","9.7%","5.4%","100.0%","114.0","53.8%","92.4","18.6%","81.2","","","11.8%","75.2","15.8%","86.9","","","","","0.4%","","27.8%","63.6%","42.5%","55.2%","80.5%","70.7%","41.1%","64.5%","12.4%","27.1%","11.6%","36.3%","30.6%","33.1%","19.2%","47.3%","33.5%","41.1%","87.4","14.7","5.7%","33.3%","113.1","17.6%","30.1%","114.0","12808"
