"Name","Team","Age","W","SO","ERA","WHIP","K/9","BB/9","H/9","HR/9","BABIP","LOB%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Start-IP","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","HardHit%","maxEV","CStr%","CSW%","IP","playerid"
"Matt Wisler","SEA","26","0","10","0.00","0.50","9.00","0.90","3.60","0.00",".174","100.0%","26.1%","13.0%","60.9%","21.4%","0.0%","0.0%","10.0","33.8%","92.6","66.2%","83.8","","","","","","","","","","","","","42.5%","63.6%","50.7%","51.4%","88.6%","69.4%","38.7%","52.9%","15.5%","29.4%","2.9%","30.4%","21.7%","47.8%","30.4%","52.2%","17.4%","32.4%","88.5","32.7","8.7%","34.8%","109.2","16.9%","32.4%","10.0","12804"
"Sam Tuivailala","SEA","26","0","1","0.00","1.00","4.50","9.00","0.00","0.00",".000","100.0%","0.0%","20.0%","80.0%","25.0%","0.0%","0.0%","2.0","67.6%","93.0","18.9%","85.7","","","13.5%","78.4","","","","","","","","","19.0%","62.5%","37.8%","75.0%","100.0%","92.9%","43.2%","50.0%","2.7%","12.5%","25.0%","40.0%","40.0%","20.0%","20.0%","40.0%","40.0%","37.5%","85.0","27.2","0.0%","20.0%","98.9","13.5%","16.2%","2.0","13485"
"Jose Ruiz","CHW","24","0","1","0.00","1.80","5.40","0.00","16.20","0.00",".429","100.0%","0.0%","71.4%","28.6%","0.0%","0.0%","0.0%","1.2","59.4%","94.7","6.3%","87.5","","","18.8%","82.8","15.6%","84.4","","","","","","","28.6%","66.7%","50.0%","75.0%","100.0%","93.8%","56.3%","62.5%","3.1%","12.5%","0.0%","28.6%","28.6%","42.9%","0.0%","85.7%","14.3%","12.5%","88.8","16.0","0.0%","28.6%","102.4","15.6%","18.8%","1.2","14552"
"Luis Perdomo","SDP","26","0","0","0.00","0.60","0.00","0.00","5.40","0.00",".167","50.0%","0.0%","45.5%","54.5%","0.0%","0.0%","100.0%","3.1","54.8%","94.2","45.2%","85.9","","","","","","","","","","","","","20.0%","90.9%","45.2%","100.0%","100.0%","100.0%","35.5%","58.3%","0.0%","0.0%","0.0%","25.0%","50.0%","25.0%","0.0%","66.7%","33.3%","0.0%","93.1","16.5","8.3%","50.0%","105.1","22.6%","22.6%","3.1","14682"
"Hunter Wood","TBR","25","0","4","0.00","1.50","9.00","4.50","9.00","0.00",".333","83.3%","27.3%","36.4%","36.4%","0.0%","50.0%","100.0%","4.0","58.3%","92.7","","","30.6%","86.1","","","11.1%","86.1","","","","","1.4%","","36.6%","64.5%","48.6%","66.7%","70.0%","68.6%","43.1%","55.6%","15.3%","22.2%","11.1%","50.0%","33.3%","16.7%","41.7%","41.7%","16.7%","33.3%","75.4","10.9","0.0%","16.7%","100.0","19.4%","34.7%","4.0","15091"
"Jordan Montgomery","NYY","26","0","3","0.00","1.50","13.50","0.00","13.50","0.00",".500","100.0%","50.0%","33.3%","16.7%","0.0%","0.0%","0.0%","2.0","53.7%","91.9","","","","","34.1%","81.7","12.2%","82.6","","","","","","","29.2%","47.1%","36.6%","71.4%","100.0%","86.7%","41.5%","66.7%","4.9%","33.3%","0.0%","66.7%","16.7%","16.7%","16.7%","50.0%","33.3%","33.3%","87.0","5.5","0.0%","33.3%","99.5","24.4%","29.3%","2.0","16511"
"Josh James","HOU","26","0","1","0.00","0.00","9.00","0.00","0.00","0.00",".000","100.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","1.0","72.2%","96.9","16.7%","86.0","","","","","11.1%","90.5","","","","","","","30.0%","50.0%","38.9%","100.0%","100.0%","100.0%","44.4%","33.3%","0.0%","33.3%","0.0%","50.0%","50.0%","0.0%","50.0%","0.0%","50.0%","33.3%","75.3","23.0","0.0%","0.0%","79.6","16.7%","16.7%","1.0","16794"
"Josh Taylor","BOS","26","0","2","0.00","3.00","18.00","18.00","9.00","0.00",".500","100.0%","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","1.0","54.8%","94.4","41.9%","87.5","","","3.2%","80.0","","","","","","","","","16.7%","69.2%","38.7%","66.7%","66.7%","66.7%","41.9%","66.7%","12.9%","33.3%","33.3%","50.0%","0.0%","50.0%","0.0%","100.0%","0.0%","66.7%","92.7","25.5","0.0%","50.0%","100.2","16.1%","29.0%","1.0","17359"
"Ryan Burr","CHW","25","0","1","0.00","1.00","4.50","4.50","4.50","0.00",".167","50.0%","33.3%","50.0%","16.7%","0.0%","0.0%","0.0%","2.0","75.0%","96.4","","","25.0%","89.0","","","","","","","","","","","33.3%","70.0%","46.4%","83.3%","71.4%","76.9%","35.7%","62.5%","10.7%","12.5%","12.5%","66.7%","33.3%","0.0%","0.0%","66.7%","33.3%","25.0%","89.4","2.0","0.0%","16.7%","110.4","10.7%","21.4%","2.0","17536"
"Bobby Poyner","BOS","26","0","2","0.00","0.00","9.00","0.00","0.00","0.00",".000","100.0%","25.0%","0.0%","75.0%","0.0%","0.0%","0.0%","2.0","71.4%","89.6","14.3%","82.4","","","","","14.3%","82.8","","","","","","","44.4%","70.6%","57.1%","75.0%","91.7%","85.0%","48.6%","100.0%","8.6%","33.3%","0.0%","0.0%","25.0%","75.0%","50.0%","25.0%","25.0%","33.3%","76.8","44.5","0.0%","25.0%","101.3","14.3%","22.9%","2.0","17987"
"Travis Lakins Sr.","BOS","25","0","6","0.00","0.71","9.53","3.18","3.18","0.00",".154","100.0%","15.4%","46.2%","38.5%","0.0%","16.7%","0.0%","5.2","42.0%","94.8","","","42.0%","91.3","7.4%","81.7","8.6%","87.7","","","","","","","27.1%","69.7%","44.4%","38.5%","78.3%","63.9%","40.7%","38.1%","16.0%","28.6%","9.5%","30.8%","53.8%","15.4%","23.1%","38.5%","38.5%","38.1%","91.9","8.7","15.4%","46.2%","108.9","14.8%","30.9%","5.2","18600"
"Michel Baez","SDP","23","0","4","0.00","0.50","18.00","4.50","0.00","0.00",".000","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","2.0","63.6%","96.0","12.1%","86.5","","","","","24.2%","86.1","","","","","","","38.1%","83.3%","54.5%","37.5%","80.0%","61.1%","36.4%","57.1%","21.2%","57.1%","14.3%","50.0%","0.0%","50.0%","100.0%","0.0%","0.0%","71.4%","61.3","5.0","0.0%","0.0%","82.9","9.1%","30.3%","2.0","20100"
"Emmanuel Clase","TEX","21","0","0","0.00","3.00","0.00","18.00","9.00","0.00",".333","100.0%","0.0%","33.3%","66.7%","0.0%","0.0%","0.0%","1.0","76.5%","99.2","23.5%","90.8","","","","","","","","","","","","","11.1%","50.0%","29.4%","100.0%","100.0%","100.0%","47.1%","60.0%","0.0%","0.0%","40.0%","33.3%","33.3%","33.3%","0.0%","0.0%","100.0%","40.0%","88.5","21.7","0.0%","66.7%","102.7","23.5%","23.5%","1.0","21032"
"Austin Pruitt","TBR","29","0","10","0.87","0.87","8.71","0.87","6.97","0.87",".259","100.0%","14.8%","51.9%","33.3%","0.0%","7.1%","0.0%","10.1","44.9%","91.7","","","25.3%","87.6","10.1%","81.1","19.6%","85.8","","","","","","","42.7%","69.4%","53.2%","61.0%","83.7%","72.6%","39.2%","79.5%","14.6%","25.6%","2.6%","28.6%","35.7%","35.7%","17.9%","42.9%","39.3%","30.8%","89.2","6.7","3.6%","42.9%","109.0","15.8%","30.4%","10.1","15290"
"Sean Manaea","OAK","27","4","30","1.21","0.78","9.10","2.12","4.85","0.91",".194","100.0%","17.6%","41.2%","41.2%","10.7%","7.1%","0.0%","29.2","63.5%","89.8","21.2%","79.4","","","","","15.3%","81.0","","","","","","","32.3%","70.8%","47.7%","62.8%","83.3%","75.0%","40.1%","60.6%","11.9%","27.5%","6.4%","31.4%","50.0%","18.6%","11.4%","41.4%","47.1%","36.7%","89.5","16.9","4.3%","37.1%","109.9","16.9%","28.8%","29.2","15873"
"Luis Severino","NYY","25","1","17","1.50","1.00","12.75","4.50","4.50","0.00",".250","84.6%","12.5%","41.7%","45.8%","18.2%","10.0%","0.0%","12.0","56.6%","96.1","26.9%","84.1","","","","","16.4%","88.3","","","","","","","32.8%","63.9%","46.6%","72.5%","82.3%","78.4%","44.3%","66.7%","10.0%","35.4%","12.5%","50.0%","41.7%","8.3%","33.3%","41.7%","25.0%","47.9%","85.8","16.2","4.2%","29.2%","108.5","19.6%","29.7%","12.0","15890"
"Matt Shoemaker","TOR","32","3","24","1.57","0.87","7.53","2.83","5.02","0.94",".183","87.2%","12.2%","51.4%","36.5%","14.8%","7.9%","0.0%","28.2","46.7%","90.5","17.7%","81.7","","","2.4%","76.5","","","33.3%","84.4","","","","","36.2%","68.0%","49.5%","56.8%","84.9%","72.9%","41.9%","68.5%","13.4%","22.2%","8.3%","55.4%","20.3%","24.3%","16.2%","44.6%","39.2%","33.3%","89.2","12.9","10.8%","39.2%","110.4","15.3%","28.7%","28.2","4776"
"Pedro Avila","SDP","22","0","5","1.69","1.13","8.44","3.38","6.75","0.00",".267","85.7%","20.0%","40.0%","40.0%","33.3%","0.0%","0.0%","5.1","29.4%","93.6","2.4%","77.0","","","22.4%","73.5","45.9%","82.7","","","","","","","25.6%","56.5%","42.4%","50.0%","88.5%","77.8%","54.1%","56.5%","9.4%","21.7%","8.7%","46.7%","33.3%","20.0%","20.0%","46.7%","33.3%","30.4%","79.1","13.0","0.0%","0.0%","88.0","20.0%","29.4%","5.1","18864"
"Tyler Glasnow","TBR","25","6","76","1.78","0.89","11.27","2.08","5.93","0.59",".265","84.7%","15.8%","50.4%","33.8%","8.5%","10.0%","0.0%","60.2","67.2%","97.0","","","","","29.2%","83.5","3.5%","92.7","","","","","","","29.6%","60.0%","43.6%","54.2%","83.2%","72.6%","46.2%","57.8%","12.0%","33.0%","6.1%","38.8%","34.5%","26.6%","22.3%","48.9%","28.8%","40.9%","87.4","10.5","5.0%","32.1%","112.1","21.2%","33.1%","60.2","14374"
"Randy Dobnak","MIN","24","2","16","1.86","0.93","7.45","2.33","6.05","0.00",".245","71.4%","20.8%","50.9%","28.3%","20.0%","7.4%","0.0%","19.1","57.2%","92.8","28.8%","84.4","","","","","14.0%","85.9","","","","","","","37.6%","65.5%","48.9%","62.9%","82.4%","73.5%","40.6%","59.7%","12.9%","20.8%","6.5%","43.4%","28.3%","28.3%","22.6%","35.8%","41.5%","27.3%","88.4","8.5","1.9%","39.6%","113.0","16.2%","29.1%","19.1","23798"
"Ryne Stanek","TBR","27","0","49","2.09","1.00","10.26","2.93","6.07","0.63",".252","79.9%","19.2%","34.6%","46.2%","10.4%","5.6%","100.0%","43.0","56.8%","97.4","20.6%","89.8","","","","","","","22.6%","87.9","","","","","33.8%","74.0%","49.9%","46.7%","82.4%","68.0%","40.2%","61.5%","16.0%","29.0%","8.3%","42.5%","30.2%","27.4%","17.9%","38.7%","43.4%","39.1%","91.0","19.5","7.5%","41.5%","112.3","12.4%","28.4%","43.0","15947"
"Hyun-Jin Ryu","LAD","32","14","163","2.32","1.01","8.03","1.18","7.88","0.84",".278","82.2%","24.2%","50.4%","25.4%","9.2%","6.9%","25.0%","182.2","40.6%","90.6","0.3%","80.6","19.5%","87.0","12.2%","72.7","27.4%","80.1","","","","","0.3%","","36.7%","67.8%","49.3%","67.1%","84.8%","76.9%","40.4%","61.8%","11.4%","22.5%","3.3%","39.8%","35.9%","24.2%","20.3%","45.5%","34.2%","28.2%","86.6","7.2","4.1%","30.8%","115.3","16.8%","28.2%","182.2","14444"
"Aaron Civale","CLE","24","3","46","2.34","1.04","7.18","2.50","6.87","0.62",".250","77.6%","22.1%","40.5%","37.4%","13.1%","4.5%","0.0%","57.2","38.5%","92.6","15.3%","83.8","28.7%","88.0","11.0%","75.6","6.5%","84.1","","","","","","","30.5%","70.9%","45.2%","73.2%","86.0%","80.5%","36.3%","61.7%","8.8%","20.3%","7.0%","36.6%","29.3%","34.1%","17.1%","44.5%","38.4%","29.1%","87.0","15.0","2.4%","32.9%","113.8","16.1%","24.9%","57.2","19479"
"Jacob deGrom","NYM","31","11","255","2.43","0.97","11.25","1.94","6.79","0.84",".282","81.8%","21.1%","44.4%","34.6%","14.2%","3.7%","22.2%","204.0","49.5%","96.9","31.5%","92.5","","","3.0%","84.3","16.0%","90.3","","","","","0.1%","","37.9%","74.6%","52.9%","58.5%","80.0%","70.9%","40.8%","64.1%","15.4%","31.7%","5.5%","38.6%","33.1%","28.3%","21.9%","48.4%","29.7%","39.6%","86.5","13.2","4.6%","29.5%","111.6","14.0%","29.4%","204.0","10954"
"Jose Leclerc","TEX","25","0","4","2.45","1.64","9.82","4.91","9.82","0.00",".364","83.3%","18.2%","63.6%","18.2%","0.0%","14.3%","0.0%","3.2","44.1%","96.3","","","","","","","42.4%","81.5","13.6%","89.8","","","","","31.6%","66.7%","44.1%","58.3%","85.7%","73.1%","35.6%","76.5%","11.9%","23.5%","11.8%","45.5%","36.4%","18.2%","18.2%","27.3%","54.5%","35.3%","90.0","3.5","0.0%","36.4%","104.1","16.9%","28.8%","3.2","14524"
"Rich Hill","LAD","39","4","72","2.45","1.13","11.05","2.76","7.36","1.53",".275","89.3%","18.4%","49.6%","31.9%","13.3%","11.4%","28.6%","58.2","52.6%","90.3","2.6%","72.5","0.3%","85.0","43.7%","74.3","0.4%","81.8","0.4%","82.8","","","0.8%","","30.3%","65.0%","47.4%","67.6%","81.9%","77.3%","49.4%","64.9%","10.8%","29.8%","7.4%","45.3%","29.1%","25.7%","17.6%","45.3%","37.2%","41.3%","86.8","10.5","4.7%","27.7%","106.2","20.8%","31.6%","58.2","4806"
"Gerrit Cole","HOU","28","20","326","2.50","0.89","13.82","2.03","6.02","1.23",".275","83.3%","20.4%","40.3%","39.4%","11.0%","6.3%","33.3%","212.1","54.0%","97.2","23.2%","89.3","","","15.4%","82.6","7.4%","88.6","","","","","","","35.0%","67.9%","49.9%","49.1%","77.1%","66.3%","45.2%","64.1%","16.8%","39.9%","5.9%","37.3%","34.3%","28.4%","19.3%","46.8%","33.9%","49.3%","87.6","14.0","5.7%","35.5%","115.2","17.1%","33.9%","212.1","13125"
"Cam Bedrosian","LAA","27","0","8","2.57","1.00","10.29","3.86","5.14","1.29",".188","89.3%","29.4%","47.1%","23.5%","0.0%","12.5%","0.0%","7.0","49.2%","93.1","50.8%","84.2","","","","","","","","","","","","","27.4%","59.6%","41.5%","60.0%","82.4%","74.1%","43.8%","57.1%","10.8%","28.6%","10.7%","41.2%","35.3%","23.5%","23.5%","29.4%","47.1%","42.9%","92.9","8.4","5.9%","58.8%","111.5","18.5%","29.2%","7.0","13360"
"Justin Verlander","HOU","36","21","300","2.58","0.80","12.11","1.70","5.53","1.45",".218","88.4%","18.9%","35.9%","45.2%","12.4%","3.4%","0.0%","223.0","49.9%","94.7","28.4%","87.6","","","17.5%","79.5","4.2%","87.0","","","","","","","37.2%","69.4%","51.7%","55.1%","77.7%","68.8%","45.2%","64.3%","16.1%","35.4%","5.0%","44.4%","35.3%","20.3%","17.1%","41.2%","41.8%","44.6%","87.2","18.5","6.8%","31.5%","109.8","16.6%","32.7%","223.0","8700"
"Frankie Montas","OAK","26","9","103","2.63","1.11","9.66","2.16","7.88","0.75",".297","76.2%","22.1%","49.4%","28.5%","13.3%","4.6%","0.0%","96.0","56.8%","96.6","24.9%","88.4","","","","","","","18.3%","86.8","","","0.3%","","35.1%","68.4%","49.2%","64.8%","84.8%","76.6%","42.2%","60.7%","11.5%","26.1%","5.8%","45.1%","30.7%","24.2%","14.8%","47.3%","37.9%","34.0%","87.0","9.9","3.8%","34.8%","111.4","15.7%","27.2%","96.0","14309"
"Mike Soroka","ATL","21","13","142","2.68","1.11","7.32","2.11","7.88","0.72",".280","79.9%","23.5%","51.2%","25.3%","14.3%","6.7%","25.0%","174.2","63.4%","92.5","24.2%","83.2","","","","","12.3%","81.3","","","","","0.2%","","33.8%","67.6%","48.2%","65.5%","87.4%","78.6%","42.6%","63.8%","10.3%","20.3%","5.8%","44.3%","33.9%","21.8%","19.0%","44.7%","36.3%","28.1%","88.2","6.7","4.9%","37.4%","114.3","16.7%","27.0%","174.2","18383"
"Alec Mills","CHC","27","0","26","2.70","1.25","11.70","2.70","8.55","0.90",".354","88.2%","18.0%","50.0%","32.0%","6.3%","0.0%","0.0%","20.0","55.3%","90.0","10.6%","78.4","","","13.7%","67.5","20.4%","80.6","","","","","","","34.1%","73.6%","48.6%","64.8%","80.9%","73.8%","36.8%","66.7%","12.8%","29.9%","6.9%","44.0%","36.0%","20.0%","18.0%","42.0%","40.0%","39.1%","87.9","10.9","6.0%","32.0%","106.1","16.1%","28.9%","20.0","13834"
"Justin Dunn","SEA","23","0","5","2.70","1.65","6.75","12.15","2.70","0.00",".125","81.8%","6.3%","43.8%","50.0%","50.0%","0.0%","0.0%","6.2","58.1%","92.5","22.8%","82.7","","","11.8%","80.0","7.4%","87.6","","","","","","","18.2%","60.4%","33.1%","75.0%","86.2%","82.2%","35.3%","56.7%","5.9%","16.7%","30.0%","50.0%","18.8%","31.3%","31.3%","37.5%","31.3%","46.7%","88.0","26.4","0.0%","31.3%","104.5","20.6%","26.5%","6.2","19268"
"Mike Clevinger","CLE","28","13","169","2.71","1.06","12.07","2.64","6.86","0.71",".306","80.2%","23.5%","40.8%","35.6%","9.7%","5.1%","50.0%","126.0","51.1%","95.5","25.6%","80.8","","","12.0%","77.7","11.3%","87.1","","","","","","","31.5%","66.0%","45.6%","53.0%","76.1%","66.7%","41.0%","65.9%","15.2%","33.9%","7.4%","42.3%","33.0%","24.7%","19.9%","47.1%","33.0%","43.3%","86.4","13.1","5.5%","34.0%","113.5","17.7%","32.9%","126.0","12808"
"Jack Flaherty","STL","23","11","231","2.75","0.97","10.59","2.52","6.19","1.15",".242","83.3%","22.2%","39.5%","38.3%","12.7%","6.4%","16.7%","196.1","58.2%","93.9","27.5%","84.9","","","12.1%","78.2","2.2%","86.5","","","","","0.1%","","32.4%","68.5%","47.8%","56.5%","80.6%","71.3%","42.8%","60.4%","13.7%","29.9%","7.1%","39.5%","33.2%","27.3%","23.6%","38.8%","37.6%","40.3%","86.6","15.5","6.9%","30.3%","116.3","16.4%","30.2%","196.1","17479"
"Zac Gallen","- - -","23","3","96","2.81","1.23","10.80","4.05","6.98","0.90",".284","83.7%","23.7%","38.9%","37.4%","2.7%","7.8%","0.0%","79.3","49.7%","92.9","","","15.4%","87.1","19.0%","79.2","16.0%","85.0","","","","","0.3%","","35.3%","61.6%","46.0%","57.0%","84.7%","72.1%","40.6%","67.4%","12.8%","28.7%","10.8%","40.9%","29.3%","29.8%","20.2%","39.9%","39.9%","41.9%","87.0","13.7","4.0%","35.9%","112.6","18.2%","31.1%","80.0","19291"
"Dustin May","LAD","21","1","17","2.82","1.07","6.85","1.21","8.46","0.40",".299","63.6%","29.9%","40.3%","29.9%","10.0%","7.4%","100.0%","22.1","55.3%","95.6","","","28.5%","90.5","14.5%","83.0","1.7%","87.2","","","","","","","27.7%","69.4%","46.7%","77.4%","82.0%","80.5%","45.6%","57.3%","9.1%","19.1%","3.4%","27.9%","50.0%","22.1%","16.2%","42.6%","41.2%","23.6%","88.1","11.0","7.4%","38.2%","110.5","19.1%","28.2%","22.1","19716"
"Sonny Gray","CIN","29","11","205","2.87","1.08","10.52","3.49","6.26","0.87",".255","79.7%","17.9%","50.8%","31.3%","9.9%","2.8%","22.2%","175.1","47.2%","93.3","21.6%","84.7","0.4%","88.9","24.7%","81.8","6.1%","89.9","","","","","0.1%","","30.3%","60.4%","41.8%","54.0%","88.2%","72.8%","38.1%","55.6%","11.3%","29.0%","9.6%","42.3%","33.6%","24.1%","16.6%","45.3%","38.1%","41.0%","88.1","9.1","6.5%","32.0%","115.1","18.8%","30.1%","175.1","12768"
"Tony Gonsolin","LAD","25","2","24","2.89","1.07","7.71","3.21","6.43","0.96",".218","73.6%","12.7%","39.2%","48.1%","10.5%","9.7%","50.0%","28.0","49.0%","93.6","17.8%","88.4","","","11.5%","80.7","","","21.7%","86.4","","","0.2%","","33.8%","71.1%","47.4%","66.0%","80.5%","73.9%","36.4%","59.1%","12.3%","20.9%","8.7%","48.1%","27.2%","24.7%","14.8%","38.3%","46.9%","32.2%","87.2","17.4","1.2%","35.8%","108.5","13.5%","25.9%","28.0","19388"
"Max Scherzer","WSN","34","11","243","2.92","1.03","12.69","1.72","7.52","0.94",".321","78.7%","21.1%","40.8%","38.1%","7.7%","7.2%","0.0%","172.1","48.3%","94.9","20.5%","85.6","8.0%","89.8","8.7%","78.6","14.5%","84.3","","","","","0.3%","","35.4%","72.3%","52.2%","52.4%","78.2%","68.7%","45.6%","70.3%","16.4%","35.1%","4.8%","41.3%","31.3%","27.4%","18.8%","45.5%","35.7%","42.4%","87.6","13.5","6.3%","35.4%","111.7","16.5%","32.9%","172.1","3137"
"Zack Greinke","- - -","35","18","187","2.93","0.98","8.07","1.29","7.55","0.91",".271","75.7%","21.7%","45.2%","33.1%","6.3%","3.8%","33.3%","208.2","46.5%","90.0","16.1%","83.7","","","15.4%","70.2","22.1%","87.3","","","","","0.2%","","35.2%","64.1%","46.5%","68.0%","85.6%","77.5%","39.1%","67.3%","10.5%","23.1%","3.7%","38.2%","36.2%","25.6%","17.5%","46.3%","36.2%","29.4%","87.5","11.0","6.1%","33.3%","114.0","18.6%","29.0%","208.2","1943"
"Luke Weaver","ARI","25","4","69","2.94","1.07","9.65","1.96","7.69","0.84",".292","78.6%","21.5%","40.7%","37.8%","9.2%","1.4%","50.0%","64.1","52.1%","93.9","","","14.0%","87.5","9.1%","81.4","24.8%","84.5","","","","","0.4%","","30.2%","68.7%","46.4%","66.3%","84.3%","77.5%","42.2%","61.9%","10.4%","26.5%","5.4%","37.4%","31.0%","31.6%","14.4%","42.0%","43.7%","34.2%","89.9","14.5","5.7%","41.4%","115.0","17.2%","27.6%","64.1","16918"
