"Name","Team","Age","W","SO","ERA","WHIP","K/9","BB/9","H/9","HR/9","BABIP","LOB%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Start-IP","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","HardHit%","maxEV","CStr%","CSW%","IP","playerid"
"Matt Moore","DET","30","0","9","0.00","0.40","8.10","0.90","2.70","0.00",".130","100.0%","9.1%","59.1%","31.8%","0.0%","0.0%","100.0%","10.0","53.8%","93.0","","","18.8%","88.5","15.4%","81.7","12.0%","83.6","","","","","","","33.3%","72.2%","51.3%","57.1%","79.5%","71.7%","46.2%","63.6%","14.5%","27.3%","3.0%","26.1%","52.2%","21.7%","21.7%","60.9%","17.4%","30.3%","87.6","4.0","4.3%","30.4%","111.7","17.1%","31.6%","10.0","1890"
"Jose Alvarez","PHI","30","0","0","0.00","1.50","0.00","9.00","4.50","0.00",".143","100.0%","28.6%","57.1%","14.3%","0.0%","0.0%","0.0%","2.0","46.7%","90.4","30.0%","82.4","","","","","23.3%","81.4","","","","","13.3%","","25.0%","71.4%","46.7%","100.0%","80.0%","85.7%","46.7%","66.7%","6.7%","0.0%","22.2%","14.3%","42.9%","42.9%","0.0%","57.1%","42.9%","22.2%","80.4","4.6","0.0%","14.3%","102.7","13.3%","20.0%","2.0","5358"
"David Phelps","TOR","32","0","1","0.00","1.00","9.00","9.00","0.00","0.00",".000","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","1.0","38.5%","91.4","","","38.5%","88.0","23.1%","79.0","","","","","","","","","30.0%","33.3%","30.8%","66.7%","0.0%","50.0%","23.1%","100.0%","15.4%","33.3%","33.3%","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","66.7%","99.8","-9.0","0.0%","100.0%","99.8","30.8%","46.2%","1.0","6316"
"Neil Ramirez","TOR","30","0","0","0.00","0.00","0.00","0.00","0.00","0.00",".000","100.0%","33.3%","33.3%","33.3%","0.0%","0.0%","0.0%","1.0","57.1%","94.0","42.9%","87.3","","","","","","","","","","","","","100.0%","60.0%","71.4%","100.0%","66.7%","80.0%","71.4%","100.0%","14.3%","0.0%","0.0%","0.0%","66.7%","33.3%","100.0%","0.0%","0.0%","0.0%","75.2","23.0","0.0%","0.0%","82.9","28.6%","42.9%","1.0","7677"
"Buddy Boshers","TOR","31","0","1","0.00","1.00","9.00","9.00","0.00","0.00",".000","100.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","1.0","20.0%","92.3","","","","","80.0%","80.3","","","","","","","","","40.0%","60.0%","46.7%","25.0%","100.0%","57.1%","33.3%","75.0%","20.0%","25.0%","25.0%","0.0%","100.0%","0.0%","0.0%","50.0%","50.0%","50.0%","89.8","39.0","0.0%","0.0%","90.3","13.3%","33.3%","1.0","8490"
"Casey Sadler","LAD","28","0","1","0.00","1.50","13.50","0.00","13.50","0.00",".333","0.0%","0.0%","100.0%","0.0%","0.0%","33.3%","0.0%","0.2","26.1%","94.7","56.5%","90.7","","","17.4%","82.3","","","","","","","","","30.0%","84.6%","60.9%","100.0%","81.8%","85.7%","56.5%","50.0%","8.7%","25.0%","0.0%","66.7%","33.3%","0.0%","0.0%","33.3%","66.7%","25.0%","92.9","-8.7","0.0%","66.7%","100.6","13.0%","21.7%","0.2","11209"
"Matt Grace","WSN","30","0","3","0.00","0.00","13.50","0.00","0.00","0.00",".000","100.0%","0.0%","33.3%","66.7%","0.0%","0.0%","0.0%","2.0","53.8%","91.5","42.3%","84.1","","","","","3.8%","89.0","","","","","","","26.3%","28.6%","26.9%","60.0%","50.0%","57.1%","26.9%","66.7%","11.5%","50.0%","0.0%","33.3%","66.7%","0.0%","0.0%","100.0%","0.0%","50.0%","83.3","20.7","0.0%","0.0%","94.2","34.6%","46.2%","2.0","11449"
"Hansel Robles","LAA","28","0","1","0.00","0.00","9.00","0.00","0.00","0.00",".000","100.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","1.0","69.2%","95.1","23.1%","87.3","","","","","7.7%","90.0","","","","","","","25.0%","55.6%","46.2%","100.0%","60.0%","66.7%","69.2%","66.7%","15.4%","33.3%","0.0%","100.0%","0.0%","0.0%","0.0%","50.0%","50.0%","33.3%","75.1","3.0","0.0%","0.0%","86.6","23.1%","38.5%","1.0","11801"
"Taijuan Walker","ARI","26","0","1","0.00","1.00","9.00","0.00","9.00","0.00",".333","100.0%","0.0%","33.3%","66.7%","0.0%","0.0%","0.0%","1.0","66.7%","93.3","6.7%","89.0","","","","","26.7%","88.5","","","","","","","33.3%","88.9%","66.7%","50.0%","87.5%","80.0%","60.0%","75.0%","13.3%","25.0%","0.0%","33.3%","0.0%","66.7%","0.0%","33.3%","66.7%","25.0%","92.5","19.3","0.0%","33.3%","103.0","6.7%","20.0%","1.0","11836"
"Nathan Karns","BAL","31","0","5","0.00","1.75","11.25","6.75","9.00","0.00",".444","85.7%","11.1%","66.7%","22.2%","0.0%","33.3%","0.0%","4.0","63.1%","91.1","","","","","20.0%","79.9","16.9%","85.9","","","","","","","27.5%","72.0%","44.6%","27.3%","88.9%","65.5%","38.5%","52.9%","15.4%","29.4%","17.6%","44.4%","33.3%","22.2%","33.3%","44.4%","22.2%","47.1%","84.3","-5.7","0.0%","44.4%","105.2","13.8%","29.2%","4.0","12638"
