Name,Team,G,playerid
Joe Dunand,MIA,3,19727
David Hensley,HOU,16,25111
Jose Altuve,HOU,141,5417
Oswald Peraza,NYY,18,22823
Ji Hwan Bae,PIT,10,23818
Jeff McNeil,NYM,148,15362
Jazz Chisholm Jr.,MIA,60,20454
Andres Gimenez,CLE,146,19950
Nick Maton,PHI,35,21635
Luis Arraez,MIN,144,18568
Brendan Donovan,STL,126,24679
Vaughn Grissom,ATL,41,26031
Kolten Wong,MIL,134,12532
Gosuke Katoh,TOR,8,15697
Jorge Polanco,MIN,104,13152
DJ LeMahieu,NYY,125,9874
Gleyber Torres,NYY,140,16997
Gavin Lux,LAD,129,19955
Luis Urias,MIL,119,16622
David Bote,CHC,41,14593
Isaac Paredes,TBR,111,20036
Christopher Morel,CHC,113,21897
Alan Trejo,COL,35,20056
Brendan Rodgers,COL,137,17907
Orlando Arcia,ATL,68,13185
Jean Segura,PHI,98,5933
Christian Arroyo,BOS,87,16434
Jake Cronenworth,SDP,158,18036
Charles Leblanc,MIA,48,19813
Tommy Edman,STL,153,19470
Thairo Estrada,SFG,140,16426
Marcus Semien,TEX,161,12533
Ketel Marte,ARI,137,13613
Trevor Story,BOS,94,12564
Nolan Gorman,STL,89,22263
Rodolfo Castro,PIT,71,21987
Jonathan India,CIN,103,21523
Luis Rengifo,LAA,127,19858
Wilmer Flores,SFG,151,5827
Luis Guillorme,NYM,102,16451
Brandon Lowe,TBR,65,18882
Santiago Espinal,TOR,135,19997
Josh Harrison,CHW,119,8202
Ozzie Albies,ATL,64,16556
Terrin Vavra,BAL,40,24400
Luis Garcia,WSN,93,20391
Kevin Newman,PIT,78,17696
Esteban Quiroz,CHC,14,19780
Michael Massey,KCR,52,27684
Cavan Biggio,TOR,97,19252
Jon Berti,MIA,102,12037
Whit Merrifield,- - -,139,11281
Matt Reynolds,- - -,93,13788
Jake Hager,ARI,28,12198
Bryson Stott,PHI,127,26294
Joey Wendle,MIA,101,13853
Tony Kemp,OAK,147,14894
Alejo Lopez,CIN,61,21127
Yairo Munoz,PHI,29,16313
Cesar Hernandez,WSN,147,10556
Hoy Park,PIT,23,18027
Zach McKinstry,- - -,57,19392
Rougned Odor,BAL,135,12282
David Fletcher,LAA,61,17992
Jordan Diaz,OAK,15,22650
Adam Frazier,SEA,156,15223
Yu Chang,- - -,69,14773
Diego Castillo,PIT,96,19906
Buddy Kennedy,ARI,30,22505
Hanser Alberto,LAD,73,11902
Sergio Alcantara,- - -,93,16417
Nick Madrigal,CHC,59,20521
Romy Gonzalez,CHW,32,21562
Jonathan Aranda,TBR,32,21837
Jonah Bride,OAK,58,24703
Josh VanMeter,PIT,67,15170
Nicky Lopez,KCR,142,19339
Jonathan Villar,- - -,59,10071
Tucupita Marcano,PIT,49,22871
Tyler Wade,LAA,67,15730
Abraham Toro,SEA,109,19844
Jonathan Schoop,DET,131,11265
Nick Allen,OAK,100,22277
Willians Astudillo,MIA,21,15608
Richie Martin,BAL,13,17736
Michael Stefanic,LAA,25,25353
Nate Mondou,OAK,1,19563
Jack Mayfield,LAA,23,15402
Leury Garcia,CHW,97,5913
Vidal Brujan,TBR,52,20536
Donovan Walton,- - -,25,19314
Chris Owings,BAL,27,10030
Andrelton Simmons,CHC,35,10847
Ford Proctor,SFG,7,21634
Miles Mastrobuoni,TBR,8,20017
Matthew Batten,SDP,15,20157
Jeter Downs,BOS,14,22202
Jermaine Palacios,MIN,30,18371
Cole Tucker,PIT,18,17326
Robinson Cano,- - -,33,3269
Yolmer Sanchez,- - -,17,11602
Phil Gosselin,- - -,34,10953
Lenyn Sosa,CHW,11,22896
Jonathan Arauz,- - -,15,20275
Taylor Motter,CIN,2,12399
Niko Goodrum,HOU,15,12092
Zack Short,DET,6,19562
Christian Lopes,OAK,4,13472
Tony Wolters,LAD,2,11470
Wilmer Difo,ARI,3,14320
Scott Kingery,PHI,1,17975
