Name,Team,G,playerid
Alek Thomas,ARI,113,23792
Ryan O'Hearn,KCR,67,16442
Nick Senzel,CIN,110,19293
Luke Raley,TBR,22,19354
Adam Haseley,CHW,14,19878
Jose Siri,- - -,104,17452
Garrett Hampson,COL,90,19262
Aristides Aquino,CIN,80,15482
J.J. Bleday,MIA,65,26368
Roman Quinn,- - -,44,13546
Oscar Mercado,- - -,55,16375
Luke Williams,- - -,79,19931
Kyle Isbel,KCR,106,21614
Cody Thomas,OAK,10,19828
Brad Miller,TEX,81,12775
Travis Demeritte,ATL,26,15958
Cooper Hummel,ARI,66,19458
Marcus Wilson,SEA,3,17910
Josh Smith,TEX,73,26396
Wynton Bernard,COL,12,13408
Skye Bolt,OAK,42,17723
Eli White,TEX,47,19346
Kole Calhoun,TEX,125,11200
Victor Robles,WSN,132,18363
Tim Locastro,NYY,38,15124
Avisail Garcia,MIA,98,5760
Eddie Rosario,ATL,80,12155
Stephen Piscotty,OAK,42,13367
Richie Palacios,CLE,54,24589
Jake Meyers,HOU,52,20308
Myles Straw,CLE,152,17620
Marwin Gonzalez,NYY,86,5497
Akil Baddoo,DET,73,22168
Adam Engel,CHW,119,15082
Jason Heyward,CHC,48,4940
Dairon Blanco,KCR,5,19779
Jackie Bradley Jr.,- - -,132,12984
Sam Hilliard,COL,70,17954
Derek Hill,DET,31,16947
Tucupita Marcano,PIT,49,22871
Nick Plummer,NYM,14,18690
Mauricio Dubon,- - -,104,16530
Miguel Andujar,- - -,36,15878
Guillermo Heredia,ATL,74,18721
Zach Reks,TEX,16,19667
Alec Burleson,STL,16,27615
Ben DeLuzio,STL,22,19644
Greg Allen,PIT,46,16623
Kyle Lewis,SEA,18,19508
Narciso Crook,CHC,4,17473
Jarred Kelenic,SEA,54,22558
Jerar Encarnacion,MIA,23,21871
Justin Upton,SEA,17,5222
Bligh Madris,PIT,39,20054
Mickey McDonald,OAK,4,20533
Jason Krizan,SFG,3,12394
Josh Palacios,WSN,29,19818
Cal Stevenson,OAK,23,22411
Mickey Moniak,- - -,37,19956
Brendon Davis,DET,3,18587
Travis Jankowski,- - -,44,13768
Leury Garcia,CHW,97,5913
Anthony Alford,PIT,2,14329
Vidal Brujan,TBR,52,20536
Mark Payton,CHW,8,16042
Steele Walker,TEX,5,22093
Dillon Thomas,LAA,8,12719
Brett Phillips,- - -,83,14735
Will Benson,CLE,28,21853
Lorenzo Cain,MIL,43,9077
Cristian Pache,OAK,91,19948
Steven Duggar,- - -,29,17719
Michael Hermosillo,CHC,31,16285
Juan Lagares,LAA,20,5384
Bradley Zimmer,- - -,109,16221
Simon Muzziotti,PHI,9,19553
Miguel Vargas,LAD,18,20178
Ryan Aguilar,LAA,7,19967
Esteury Ruiz,- - -,17,21780
Miles Mastrobuoni,TBR,8,20017
Magneuris Sierra,LAA,45,17023
Elier Hernandez,TEX,14,13750
Mark Contreras,MIN,28,20122
Brent Rooker,- - -,16,19627
Cole Tucker,PIT,18,17326
Matt Beaty,SDP,20,17710
Max Schrock,CIN,13,17750
Estevan Florial,NYY,17,19151
Kevin Pillar,LAD,4,12434
Mike Siani,CIN,9,22557
Billy McKinney,OAK,23,15654
Heliot Ramos,SFG,9,22515
Steven Souza Jr.,SEA,6,5667
Eddy Alvarez,LAD,14,16959
Jose Rojas,LAA,22,19331
