Name,Team,G,playerid
Sam Selman,OAK,16,13397
R.J. Alvarez,NYM,1,13401
Matt Koch,SEA,4,13420
Drew VerHagen,STL,19,13424
Marcus Stroman,CHC,25,13431
Pierce Johnson,SDP,15,13435
Taylor Rogers,- - -,66,13449
Lucas Sims,CIN,6,13470
Daniel Norris,- - -,41,13475
Connor Sadzeck,MIL,2,13483
Blake Snell,SDP,25,13543
Steven Okert,MIA,60,13580
Robert Stephenson,- - -,58,13594
Carl Edwards Jr.,WSN,57,13607
Jakob Junis,SFG,23,13619
Clay Holmes,NYY,62,13649
Tayler Scott,SDP,8,13652
Jharel Cotton,- - -,30,13654
Robert Gsellman,CHC,8,13696
Joey Krehbiel,BAL,56,13707
Kyle Barraclough,LAA,8,13713
Max Fried,ATL,30,13743
Tyler Duffey,MIN,40,13758
Chris Stratton,- - -,60,13761
Dominic Leone,SFG,55,13763
JT Chargois,TBR,21,13767
Zach Eflin,PHI,20,13774
Alex Wood,SFG,26,13781
Matt Strahm,BOS,50,13799
Austin Adams,SDP,2,13801
Alec Mills,CHC,7,13834
Paul Sewald,SEA,65,13892
Chris Flexen,SEA,33,13896
Brent Suter,MIL,54,13942
Michael Wacha,BOS,23,14078
Kevin Gausman,TOR,31,14107
Lance McCullers Jr.,HOU,8,14120
Chris Mazza,TBR,2,14151
Jose Berrios,TOR,32,14168
Josh Hader,- - -,56,14212
Luke Bard,- - -,9,14288
Wandy Peralta,NYY,56,14295
Frankie Montas,- - -,27,14309
Joel Payamps,- - -,41,14332
Ty Blach,COL,24,14361
Tyler Glasnow,TBR,2,14374
Amir Garrett,KCR,60,14375
Yunior Marte,SFG,39,14416
Jackson Stephens,ATL,39,14420
Hyun-Jin Ryu,TOR,6,14444
J.B. Wendelken,ARI,29,14506
Dereck Rodriguez,MIN,2,14509
Jose Leclerc,TEX,39,14524
Jorge Lopez,- - -,67,14527
Carlos Estevez,COL,62,14542
Jose Ruiz,CHW,63,14552
Rowan Wick,CHC,64,14646
Chi Chi Gonzalez,- - -,7,14663
Jandel Gustave,MIL,27,14665
Duane Underwood Jr.,PIT,51,14677
Andres Machado,WSN,51,14681
Luis Perdomo,MIL,14,14682
Anthony Banda,- - -,32,14706
Edwin Diaz,NYM,61,14710
Paul Blackburn,OAK,21,14739
Julio Urias,LAD,31,14765
Emilio Pagan,MIN,59,14771
Buck Farmer,CIN,44,14814
Mark Appel,PHI,6,14823
Michael Lorenzen,LAA,18,14843
Matt Dermody,CHC,1,14844
Joe Mantiply,ARI,69,14857
Sam Moll,OAK,53,14874
Caleb Smith,ARI,44,14875
Jon Gray,TEX,24,14916
Reyes Moronta,- - -,39,14966
Chad Kuhl,COL,27,14975
Giovanny Gallegos,STL,57,14986
Scott Barlow,KCR,69,14993
Kyle Finnegan,WSN,66,15009
Corey Knebel,PHI,46,15010
Chase De Jong,PIT,42,15036
German Marquez,COL,31,15038
Tim Mayza,TOR,63,15042
Lou Trivino,- - -,64,15043
Trevor Gott,MIL,45,15046
Austin Voth,- - -,41,15047
Silvino Bracho,ATL,3,15051
Yency Almonte,LAD,33,15068
Rob Zastryzny,- - -,6,15094
Luke Farrell,- - -,6,15101
Collin Wiles,OAK,4,15106
Tyler Danish,BOS,32,15126
Ashton Goudeau,COL,12,15139
Justin Topa,MIL,7,15145
Jimmy Yacabonis,- - -,14,15157
Cole Sulser,MIA,39,15256
Keynan Middleton,ARI,18,15264
Adam Cimber,TOR,77,15288
Austin Pruitt,OAK,39,15290
Steven Brault,CHC,9,15291
Kevin Herget,TBR,3,15369
Andrew Heaney,LAD,16,15423
Matthew Boyd,SEA,10,15440
Zack Weiss,LAA,12,15444
Mike Mayers,LAA,24,15451
Nick Pivetta,BOS,33,15454
Marco Gonzales,SEA,32,15467
Lucas Giolito,CHW,30,15474
Antonio Senzatela,COL,19,15488
Hunter Harvey,WSN,38,15507
Kendall Graveman,CHW,65,15514
Tyler Rogers,SFG,68,15541
Mark Leiter Jr.,CHC,35,15551
Chad Green,NYY,14,15552
Nick Wittgren,STL,29,15594
Phillips Valdez,BOS,13,15605
Miguel Castro,NYY,34,15684
Luis Castillo,- - -,25,15689
Brad Keller,KCR,35,15734
Joe Jimenez,DET,62,15761
Devin Williams,MIL,65,15816
Zack Littell,SFG,39,15823
Paul Fry,- - -,13,15832
Sean Manaea,SDP,30,15873
Luis Severino,NYY,19,15890
Victor Arano,WSN,43,15915
Ryne Stanek,HOU,59,15947
Zach Thompson,PIT,29,16094
Jordan Romano,TOR,63,16122
Chris Ellis,BAL,2,16125
