Name,Team,G,playerid
Paul Goldschmidt,STL,151,9218
Joey Meneses,WSN,56,14366
Freddie Freeman,LAD,159,5361
Nathaniel Lowe,TEX,157,19566
Pete Alonso,NYM,160,19251
Vinnie Pasquantino,KCR,72,27676
Jose Abreu,CHW,157,15676
Anthony Rizzo,NYY,130,3473
Vladimir Guerrero Jr.,TOR,160,19611
Luis Arraez,MIN,144,18568
Christian Walker,ARI,160,13419
Rhys Hoskins,PHI,156,16472
Triston Casas,BOS,27,22514
Matt Olson,ATL,162,14344
Josh Bell,- - -,156,13145
Ty France,SEA,140,17982
C.J. Cron,COL,150,12546
Keston Hiura,MIL,80,20003
Gosuke Katoh,TOR,8,15697
Josh Naylor,CLE,122,18839
Garrett Cooper,MIA,119,15279
DJ LeMahieu,NYY,125,9874
Jared Young,CHC,6,20404
Jose Miranda,MIN,125,20538
Harold Ramirez,TBR,120,14387
Rowdy Tellez,MIL,153,15679
Seth Brown,OAK,150,18171
Ji-Man Choi,TBR,113,5452
Donovan Solano,CIN,80,8623
Ryan Mountcastle,BAL,145,18373
Eric Hosmer,- - -,104,3516
Wilmer Flores,SFG,151,5827
Trey Mancini,- - -,143,15149
Luke Voit,- - -,135,14811
Wil Myers,SDP,77,10047
Joey Votto,CIN,91,4314
Carlos Santana,- - -,131,2396
P.J. Higgins,CHC,74,18433
Franchy Cordero,BOS,84,14567
Brandon Belt,SFG,78,10264
Pedro Severino,MIL,8,14523
Elehuris Montero,COL,53,20543
Cavan Biggio,TOR,97,19252
Christian Bethancourt,- - -,101,10028
Colin Moran,CIN,42,16909
LaMonte Wade Jr.,SFG,77,18126
Hunter Dozier,KCR,129,15117
Harold Castro,DET,120,14691
Darin Ruf,- - -,119,9929
Jesus Aguilar,- - -,129,11342
Bobby Dalbec,BOS,117,19966
Owen Miller,CLE,130,24655
Spencer Steer,CIN,28,26323
Nick Pratto,KCR,49,22117
Matt Thaiss,LAA,29,19318
Alex Kirilloff,MIN,45,20325
Mike Moustakas,CIN,78,4892
Michael Toglia,COL,31,25845
Dermis Garcia,OAK,39,20926
Alfonso Rivas,CHC,101,21560
Yuli Gurriel,HOU,146,19198
Michael Chavis,PIT,129,17321
Mike Ford,- - -,50,15585
Matt Duffy,LAA,77,13836
Jared Walsh,LAA,118,18607
Frank Schwindel,CHC,75,15351
Spencer Torkelson,DET,110,27465
Ryan O'Hearn,KCR,67,16442
Jonathan Aranda,TBR,32,21837
J.J. Matijevic,HOU,32,20165
Dominic Smith,NYM,58,15653
Josh VanMeter,PIT,67,15170
Stephen Vogt,OAK,70,5000
Zack Collins,- - -,36,19181
Alec Burleson,STL,16,27615
Lewin Diaz,MIA,58,18365
Yoshi Tsutsugo,PIT,50,27459
Caleb Hamilton,MIN,22,19842
Miguel Vargas,LAD,18,20178
David MacKinnon,- - -,22,19625
Miguel Sano,MIN,20,12164
Niko Goodrum,HOU,15,12092
Billy McKinney,OAK,23,15654
Kevin Padlo,- - -,13,16593
Bobby Bradley,CLE,8,17278
Travis Shaw,BOS,7,11982
Ronald Guzman,NYY,3,14388
